Year,Units,Pol,Starost,Lokacija,Value
2013,%,,,,25.2
2014,%,,,,24.1
2015,%,,,,24.4
2016,%,,,,24.0
2017,%,,,,23.6
2018,%,,,,23.8
2019,%,,,,24.5
2020,%,,,,22.6
2021,%,,,,21.2
2013,%,Muškarci,,,24.9
2014,%,Muškarci,,,24.2
2015,%,Muškarci,,,24.4
2016,%,Muškarci,,,24.5
2017,%,Muškarci,,,24.2
2018,%,Muškarci,,,24.1
2019,%,Muškarci,,,24.9
2020,%,Muškarci,,,23.0
2021,%,Muškarci,,,21.1
2013,%,Žene,,,25.4
2014,%,Žene,,,23.9
2015,%,Žene,,,24.5
2016,%,Žene,,,23.6
2017,%,Žene,,,23.0
2018,%,Žene,,,23.5
2019,%,Žene,,,24.0
2020,%,Žene,,,22.2
2021,%,Žene,,,21.3
2013,%,,manje od 18 godina,,34.7
2014,%,,manje od 18 godina,,31.8
2015,%,,manje od 18 godina,,32.6
2016,%,,manje od 18 godina,,30.9
2017,%,,manje od 18 godina,,31.7
2018,%,,manje od 18 godina,,32.4
2019,%,,manje od 18 godina,,33.7
2020,%,,manje od 18 godina,,32.6
2021,%,,manje od 18 godina,,30.5
2013,%,,18-24 godine,,27.7
2014,%,,18-24 godine,,30.8
2015,%,,18-24 godine,,28.0
2016,%,,18-24 godine,,29.6
2017,%,,18-24 godine,,27.8
2018,%,,18-24 godine,,25.0
2019,%,,18-24 godine,,30.5
2020,%,,18-24 godine,,25.2
2021,%,,18-24 godine,,24.7
2013,%,,25-54 godine,,24.4
2014,%,,25-54 godine,,23.3
2015,%,,25-54 godine,,23.4
2016,%,,25-54 godine,,22.6
2017,%,,25-54 godine,,22.5
2018,%,,25-54 godine,,22.4
2019,%,,25-54 godine,,22.5
2020,%,,25-54 godine,,20.4
2021,%,,25-54 godine,,19.6
2013,%,,55-64 godine,,16.0
2014,%,,55-64 godine,,16.3
2015,%,,55-64 godine,,19.9
2016,%,,55-64 godine,,20.3
2017,%,,55-64 godine,,18.8
2018,%,,55-64 godine,,18.6
2019,%,,55-64 godine,,19.0
2020,%,,55-64 godine,,17.3
2021,%,,55-64 godine,,15.5
2013,%,,65 ili više godina,,15.6
2014,%,,65 ili više godina,,13.1
2015,%,,65 ili više godina,,14.9
2016,%,,65 ili više godina,,16.1
2017,%,,65 ili više godina,,15.4
2018,%,,65 ili više godina,,15.3
2019,%,,65 ili više godina,,15.1
2020,%,,65 ili više godina,,15.5
2021,%,,65 ili više godina,,13.8
2013,%,,18-64 godine,,23.3
2014,%,,18-64 godine,,23.2
2015,%,,18-64 godine,,23.4
2016,%,,18-64 godine,,23.2
2017,%,,18-64 godine,,22.5
2018,%,,18-64 godine,,22.0
2019,%,,18-64 godine,,23.0
2020,%,,18-64 godine,,20.5
2021,%,,18-64 godine,,19.6
2013,%,,,Gradsko,19.0
2014,%,,,Gradsko,18.7
2015,%,,,Gradsko,17.8
2016,%,,,Gradsko,18.8
2017,%,,,Gradsko,17.5
2018,%,,,Gradsko,17.3
2019,%,,,Gradsko,17.9
2020,%,,,Gradsko,16.9
2021,%,,,Gradsko,16.6
2013,%,,,Ruralno,36.4
2014,%,,,Ruralno,33.8
2015,%,,,Ruralno,36.5
2016,%,,,Ruralno,33.5
2017,%,,,Ruralno,34.8
2018,%,,,Ruralno,35.6
2019,%,,,Ruralno,36.3
2020,%,,,Ruralno,32.9
2021,%,,,Ruralno,29.6
