Year,Units,Konvencija,Kategorija,Value
2015,bodovi,Baselska konvencija,Označavanje kontakt osobe i jednu ili više nadležnih organa,1.0
2016,bodovi,Baselska konvencija,Označavanje kontakt osobe i jednu ili više nadležnih organa,1.0
2017,bodovi,Baselska konvencija,Označavanje kontakt osobe i jednu ili više nadležnih organa,1.0
2018,bodovi,Baselska konvencija,Označavanje kontakt osobe i jednu ili više nadležnih organa,1.0
2019,bodovi,Baselska konvencija,Označavanje kontakt osobe i jednu ili više nadležnih organa,1.0
2020,bodovi,Baselska konvencija,Podnošenje godišnjih nacionalnih izvještaja tokom izvještajnog perioda,1.0
2021,bodovi,Baselska konvencija,basel_convention_3,1.0
2022,bodovi,Baselska konvencija,basel_convention_4,1.0
2023,bodovi,Baselska konvencija,basel_convention_5,1.0
2015,bodovi,Baselska konvencija,Podnošenje godišnjih nacionalnih izvještaja tokom izvještajnog perioda,1.0
2016,bodovi,Baselska konvencija,Podnošenje godišnjih nacionalnih izvještaja tokom izvještajnog perioda,1.0
2017,bodovi,Baselska konvencija,Podnošenje godišnjih nacionalnih izvještaja tokom izvještajnog perioda,1.0
2018,bodovi,Baselska konvencija,Podnošenje godišnjih nacionalnih izvještaja tokom izvještajnog perioda,1.0
2019,bodovi,Baselska konvencija,Podnošenje godišnjih nacionalnih izvještaja tokom izvještajnog perioda,1.0
2020,bodovi,Baselska konvencija,basel_convention_3,1.0
2021,bodovi,Baselska konvencija,basel_convention_4,1.0
2022,bodovi,Baselska konvencija,basel_convention_5,1.0
2015,bodovi,Roterdamska konvencija,Označavanje nadležnih nacionalnih organa i zvanične kontakt tačke,1.0
2016,bodovi,Roterdamska konvencija,Označavanje nadležnih nacionalnih organa i zvanične kontakt tačke,1.0
2017,bodovi,Roterdamska konvencija,Označavanje nadležnih nacionalnih organa i zvanične kontakt tačke,1.0
2018,bodovi,Roterdamska konvencija,Označavanje nadležnih nacionalnih organa i zvanične kontakt tačke,1.0
2019,bodovi,Roterdamska konvencija,Označavanje nadležnih nacionalnih organa i zvanične kontakt tačke,1.0
2020,bodovi,Roterdamska konvencija,Označavanje nadležnih nacionalnih organa i zvanične kontakt tačke,1.0
