Year,Units,Pol,Starost,Oblik eksploatacije,Value
2012,count,,,,9.0
2017,count,,,,10.0
2018,count,,,,12.0
2020,count,,,,52.0
2025,na 100 000 ljudi,,,,6.89
2025,na 100 000 ljudi,Žene,,,3.36
2025,na 100 000 ljudi,Muškarci,,,3.53
2025,na 100 000 ljudi,,manje od 18 godina,,5.13
2025,na 100 000 ljudi,,18-35 godina,,1.12
2025,na 100 000 ljudi,,preko 35 godina,,0.64
2025,na 100 000 ljudi,,,prinudno prosjačenje,4.49
2025,na 100 000 ljudi,,,radna eksploatacija,1.6
2025,na 100 000 ljudi,,,seksualna eksploatacija,0.64
2025,na 100 000 ljudi,,,ugovoreni brak,0.16
