Year,Units,Administrativna cjelina,"Sumirano - Obračunski list za dimenzije PI-1.1, PI-2.1 i PI-2.3",Ekonomska cjelina,Sumirano - Obračun rashoda po varijansama ekonomske klasifikacije PI-2.2,Kategorija,Value
2016,procenat,1.0,,,,,22.7
2016,procenat,2.0,,,,,8.6
2016,procenat,3.0,,,,,25.2
2016,procenat,4.0,,,,,55.4
2016,procenat,5.0,,,,,32.0
2016,procenat,6.0,,,,,44.2
2016,procenat,7.0,,,,,38.4
2016,procenat,8.0,,,,,6.1
2016,procenat,9.0,,,,,12.0
2016,procenat,10.0,,,,,11.6
2016,procenat,,ukupni rezultat (PI-1),,,,93.6
2016,procenat,,varijansa sastava (PI-2),,,,27.3
2016,procenat,,nepredviđeni dio budžeta,,,,1.1
2017,procenat,1.0,,,,,0.034622634
2017,procenat,2.0,,,,,0.006044675
2017,procenat,3.0,,,,,0.102467575
2017,procenat,4.0,,,,,0.03823655
2017,procenat,5.0,,,,,0.069807354
2017,procenat,6.0,,,,,0.177601948
2017,procenat,7.0,,,,,0.019505611
2017,procenat,8.0,,,,,0.068700957
2017,procenat,9.0,,,,,0.017975611
2017,procenat,10.0,,,,,0.050073087
2017,procenat,,ukupni rezultat (PI-1),,,,101.0
2017,procenat,,varijansa sastava (PI-2),,,,4.3
2017,procenat,,nepredviđeni dio budžeta,,,,1.1
2018,procenat,1.0,,,,,0.020121701
2018,procenat,2.0,,,,,0.382758592
2018,procenat,3.0,,,,,0.026699902
2018,procenat,4.0,,,,,0.068948772
2018,procenat,5.0,,,,,0.288878127
2018,procenat,6.0,,,,,0.059226146
2018,procenat,7.0,,,,,0.130986788
2018,procenat,8.0,,,,,0.064128782
2018,procenat,9.0,,,,,0.02644262
2018,procenat,10.0,,,,,0.055453584
2018,procenat,,ukupni rezultat (PI-1),,,,105.1
2018,procenat,,varijansa sastava (PI-2),,,,7.0
2018,procenat,,nepredviđeni dio budžeta,,,,1.3
2016,procenat,,,Kompenzacija zaposlenih,,,8.7
2016,procenat,,,Upotreba robe i usluga,,,3.6
2016,procenat,,,Potrošnja fiksnog kapitala,,,0.0
2016,procenat,,,Kamatna stopa,,,13.9
2016,procenat,,,Subvencije,,,41.3
2016,procenat,,,Grantovi,,,46.5
2016,procenat,,,Socijalne beneficije,,,11.3
2016,procenat,,,Ostali troškovi,,,19.3
2016,procenat,,,,varijansa kompozicije,,13.8
2017,procenat,,,Kompenzacija zaposlenih,,,0.7
2017,procenat,,,Upotreba robe i usluga,,,10.2
2017,procenat,,,Potrošnja fiksnog kapitala,,,0.0
2017,procenat,,,Kamatna stopa,,,2.5
2017,procenat,,,Subvencije,,,9.9
2017,procenat,,,Grantovi,,,38.6
2017,procenat,,,Socijalne beneficije,,,6.7
2017,procenat,,,Ostali troškovi,,,6.9
2017,procenat,,,,varijansa kompozicije,,5.9
2018,procenat,,,Kompenzacija zaposlenih,,,0.3
2018,procenat,,,Upotreba robe i usluga,,,3.9
2018,procenat,,,Potrošnja fiksnog kapitala,,,0.0
2018,procenat,,,Kamatna stopa,,,8.7
2018,procenat,,,Subvencije,,,0.5
2018,procenat,,,Grantovi,,,14.5
2018,procenat,,,Socijalne beneficije,,,6.0
2018,procenat,,,Ostali troškovi,,,5.0
2018,procenat,,,,varijansa kompozicije,,4.3
2009,procenat,,,,,Primarni državni rashodi kao proporcija prvobitno odobrenog budžeta,89.2
2010,procenat,,,,,Primarni državni rashodi kao proporcija prvobitno odobrenog budžeta,99.2
2011,procenat,,,,,Primarni državni rashodi kao proporcija prvobitno odobrenog budžeta,104.8
2012,procenat,,,,,Primarni državni rashodi kao proporcija prvobitno odobrenog budžeta,104.5
2013,procenat,,,,,Primarni državni rashodi kao proporcija prvobitno odobrenog budžeta,112.1
2014,procenat,,,,,Primarni državni rashodi kao proporcija prvobitno odobrenog budžeta,108.9
2015,procenat,,,,,Primarni državni rashodi kao proporcija prvobitno odobrenog budžeta,103.4
2016,procenat,,,,,Primarni državni rashodi kao proporcija prvobitno odobrenog budžeta,93.6
2017,procenat,,,,,Primarni državni rashodi kao proporcija prvobitno odobrenog budžeta,101.0
2018,procenat,,,,,Primarni državni rashodi kao proporcija prvobitno odobrenog budžeta,105.1
2019,procenat,,,,,Primarni državni rashodi kao proporcija prvobitno odobrenog budžeta,131.6
2020,procenat,,,,,Primarni državni rashodi kao proporcija prvobitno odobrenog budžeta,110.7
2021,procenat,,,,,Primarni državni rashodi kao proporcija prvobitno odobrenog budžeta,119.1
