Year,Units,Value
2002,miliona dolara,71.89008
2003,miliona dolara,49.43149
2004,miliona dolara,65.37657
2005,miliona dolara,500.61185
2006,miliona dolara,622.00163
2007,miliona dolara,934.44223
2008,miliona dolara,960.42333
2009,miliona dolara,1527.25942
2010,miliona dolara,760.44077
2011,miliona dolara,558.0527
2012,miliona dolara,619.75295
2013,miliona dolara,447.4746
2014,miliona dolara,497.6552
2015,miliona dolara,699.36536
2016,miliona dolara,226.40964
2017,miliona dolara,558.56576
2018,miliona dolara,489.81482
2019,miliona dolara,416.44721
2020,miliona dolara,532.28453
2021,miliona dolara,698.91957
2022,miliona dolara,876.73479
2023,miliona dolara,526.2454
