Year,Units,Starost,Value
2000,na 1000 žena,15-19 i 10-14 godina,21.07
2000,na 1000 žena,15-19 i 10-14 godina,0.0
2001,na 1000 žena,15-19 i 10-14 godina,17.9
2002,na 1000 žena,15-19 i 10-14 godina,19.2
2003,na 1000 žena,15-19 i 10-14 godina,0.0
2003,na 1000 žena,15-19 i 10-14 godina,17.8
2004,na 1000 žena,15-19 i 10-14 godina,0.09
2004,na 1000 žena,15-19 i 10-14 godina,16.6
2005,na 1000 žena,15-19 i 10-14 godina,16.22
2005,na 1000 žena,15-19 i 10-14 godina,0.14
2006,na 1000 žena,15-19 i 10-14 godina,0.0
2006,na 1000 žena,15-19 i 10-14 godina,16.25
2007,na 1000 žena,15-19 i 10-14 godina,17.56
2007,na 1000 žena,15-19 i 10-14 godina,0.05
2008,na 1000 žena,15-19 i 10-14 godina,20.21
2008,na 1000 žena,15-19 i 10-14 godina,0.24
2009,na 1000 žena,15-19 i 10-14 godina,0.49
2009,na 1000 žena,15-19 i 10-14 godina,22.78
2010,na 1000 žena,15-19 i 10-14 godina,0.25
2010,na 1000 žena,15-19 i 10-14 godina,16.78
2011,na 1000 žena,15-19 i 10-14 godina,14.26
2011,na 1000 žena,15-19 i 10-14 godina,0.25
2012,na 1000 žena,15-19 i 10-14 godina,13.31
2012,na 1000 žena,15-19 i 10-14 godina,0.0
2013,na 1000 žena,15-19 i 10-14 godina,11.97
2013,na 1000 žena,15-19 i 10-14 godina,0.15
2014,na 1000 žena,15-19 i 10-14 godina,0.16
2014,na 1000 žena,15-19 i 10-14 godina,11.16
2015,na 1000 žena,15-19 i 10-14 godina,11.08
2015,na 1000 žena,15-19 i 10-14 godina,0.11
2016,na 1000 žena,15-19 i 10-14 godina,0.17
2016,na 1000 žena,15-19 i 10-14 godina,10.07
2017,na 1000 žena,15-19 i 10-14 godina,0.11
2017,na 1000 žena,15-19 i 10-14 godina,10.06
2018,na 1000 žena,15-19 i 10-14 godina,9.7
2018,na 1000 žena,15-19 i 10-14 godina,0.0
2019,na 1000 žena,15-19 i 10-14 godina,11.44
2019,na 1000 žena,15-19 i 10-14 godina,0.11
2020,na 1000 žena,15-19 i 10-14 godina,0.11
2020,na 1000 žena,15-19 i 10-14 godina,9.47
2021,na 1000 žena,15-19 i 10-14 godina,0.11
2021,na 1000 žena,15-19 i 10-14 godina,9.55
2022,na 1000 žena,15-19 i 10-14 godina,8.57
2022,na 1000 žena,15-19 i 10-14 godina,0.0
