Year,Units,Pol,Value
2000,procenat,Oba pola,38.6
2000,procenat,Žene,36.4
2000,procenat,Muškarci,40.9
2005,procenat,Muškarci,38.0
2005,procenat,Žene,35.5
2005,procenat,Oba pola,36.7
2010,procenat,Muškarci,35.7
2010,procenat,Žene,34.7
2010,procenat,Oba pola,35.2
2015,procenat,Muškarci,33.6
2015,procenat,Žene,33.9
2015,procenat,Oba pola,33.7
2017,procenat,Oba pola,35.4
2020,procenat,Muškarci,31.5
2020,procenat,Oba pola,32.4
2020,procenat,Žene,33.2
2022,procenat,Oba pola,32.0
2022,procenat,Žene,33.2
2022,procenat,Muškarci,30.9
