Year,Units,Lokacija,Starost,Kategorija,Value
2018,ukupno,,osnovna škola,4_5_1_cat_1,1.01
2018,ukupno,,osnovna škola,4_5_1_cat_2,0.95
2018,ukupno,,osnovna škola,4_5_1_cat_3,1.01
2018,ukupno,,srednja škola,4_5_1_cat_1,1.05
2018,ukupno,,srednja škola,4_5_1_cat_2,0.8
2018,ukupno,,srednja škola,4_5_1_cat_3,1.0
2018,ukupno,,više srednje obrazovanje,4_5_1_cat_1,1.06
2018,ukupno,,više srednje obrazovanje,4_5_1_cat_2,0.66
2018,ukupno,,više srednje obrazovanje,4_5_1_cat_3,1.02
2018,ukupno,Romska naselja,osnovna škola,4_5_1_cat_1,1.06
2018,ukupno,Romska naselja,osnovna škola,4_5_1_cat_2,0.58
2018,ukupno,Romska naselja,osnovna škola,4_5_1_cat_3,0.99
2018,ukupno,Romska naselja,srednja škola,4_5_1_cat_1,1.16
2018,ukupno,Romska naselja,srednja škola,4_5_1_cat_2,0.32
2018,ukupno,Romska naselja,srednja škola,4_5_1_cat_3,0.91
2018,ukupno,Romska naselja,više srednje obrazovanje,4_5_1_cat_1,0.86
2018,ukupno,Romska naselja,više srednje obrazovanje,4_5_1_cat_2,0.09
2018,ukupno,Romska naselja,više srednje obrazovanje,4_5_1_cat_3,0.58
2015,odnos,,,,0.92339
2016,odnos,,,,0.92623
2017,odnos,,,,1.00539
2018,odnos,,,,0.95442
2019,odnos,,,,0.98153
2020,odnos,,,,0.98398
2021,odnos,,,,0.99742
2022,odnos,,,,1.05357
