Year,Units,Lokacija,Kategorija,Value
2018,%,,članovi domaćinstva s prostorijom za pranje ruku u kojoj se nalaze voda i sapun ili deterdžent,99.6
2018,%,Romska naselja,članovi domaćinstva s prostorijom za pranje ruku u kojoj se nalaze voda i sapun ili deterdžent,94.3
2018,%,,članovi domaćinstva koji koriste unaprijeđene sanitarne prostorije koje ne dijele sa drugima,96.0
2018,%,Romska naselja,članovi domaćinstva koji koriste unaprijeđene sanitarne prostorije koje ne dijele sa drugima,84.6
2018,%,,članovi domaćinstva koji koriste unaprijeđene sanitarne prostorije u kojima nije omogućeno puštanje vode u zajedničku kanalizaciju gdje se otpad ne prazni,73.7
2018,%,Romska naselja,članovi domaćinstva koji koriste unaprijeđene sanitarne prostorije u kojima nije omogućeno puštanje vode u zajedničku kanalizaciju gdje se otpad ne prazni,83.9
2018,%,,"članovi domaćinstva koji koriste unaprijeđene sanitarne prostorije u kojima nije omogućeno puštanje vode u zajedničku kanalizaciju, ali se otpad prazni",12.8
2018,%,Romska naselja,"članovi domaćinstva koji koriste unaprijeđene sanitarne prostorije u kojima nije omogućeno puštanje vode u zajedničku kanalizaciju, ali se otpad prazni",7.9
2006,%,Gradsko,,19.61326
2006,%,Sve lokacije,,23.94933
2006,%,Ruralno,,31.27029
2007,%,Sve lokacije,,26.26775
2007,%,Gradsko,,22.71833
2007,%,Ruralno,,32.34753
2008,%,Sve lokacije,,28.55996
2008,%,Gradsko,,25.78911
2008,%,Ruralno,,33.37529
2009,%,Sve lokacije,,30.826
2009,%,Ruralno,,34.35324
2009,%,Gradsko,,28.82535
2010,%,Sve lokacije,,33.06549
2010,%,Ruralno,,35.28103
2010,%,Gradsko,,31.8268
2011,%,Sve lokacije,,35.27822
2011,%,Gradsko,,34.79323
2011,%,Ruralno,,36.15833
2012,%,Ruralno,,36.9848
2012,%,Gradsko,,37.72438
2012,%,Sve lokacije,,37.46407
2013,%,Sve lokacije,,39.62295
2013,%,Gradsko,,40.62
2013,%,Ruralno,,37.7601
2014,%,Sve lokacije,,41.7548
2014,%,Gradsko,,43.47985
2014,%,Ruralno,,38.4839
2015,%,Sve lokacije,,43.85956
2015,%,Gradsko,,46.30369
2015,%,Ruralno,,39.15586
2016,%,Gradsko,,49.09126
2016,%,Ruralno,,39.77563
2016,%,Sve lokacije,,45.93708
2017,%,Sve lokacije,,47.98737
2017,%,Gradsko,,51.84233
2017,%,Ruralno,,40.3429
2018,%,Sve lokacije,,50.00739
2018,%,Ruralno,,40.8573
2018,%,Gradsko,,54.55237
2019,%,Ruralno,,41.31852
2019,%,Gradsko,,56.82465
2019,%,Sve lokacije,,51.73089
2020,%,Sve lokacije,,53.4151
2020,%,Ruralno,,41.70282
2020,%,Gradsko,,59.05743
2021,%,Ruralno,,42.377
2021,%,Sve lokacije,,55.40115
2021,%,Gradsko,,61.57929
2022,%,Gradsko,,64.10116
2022,%,Ruralno,,43.05118
2022,%,Sve lokacije,,57.39968
