Year,Units,Kategorija,Value
2019,"nivo ušešća (1 - mali, 2 - srednji, 3 - veliki)",voda za piće - urbana sredina,2
2019,"nivo ušešća (1 - mali, 2 - srednji, 3 - veliki)",pijaća voda - ruralna sredina,2
2019,"nivo ušešća (1 - mali, 2 - srednji, 3 - veliki)",kanalizacija - urbana sredina,2
2019,"nivo ušešća (1 - mali, 2 - srednji, 3 - veliki)",kanalizacija - ruralna sredina,2
2019,"nivo ušešća (1 - mali, 2 - srednji, 3 - veliki)",promocija higijene,2
2019,"nivo ušešća (1 - mali, 2 - srednji, 3 - veliki)",planiranje i upravljanje vodenim resursima,2
2021,"nivo ušešća (1 - mali, 2 - srednji, 3 - veliki)",voda za piće - urbana sredina,2
2021,"nivo ušešća (1 - mali, 2 - srednji, 3 - veliki)",pijaća voda - ruralna sredina,2
2021,"nivo ušešća (1 - mali, 2 - srednji, 3 - veliki)",kanalizacija - urbana sredina,2
2021,"nivo ušešća (1 - mali, 2 - srednji, 3 - veliki)",kanalizacija - ruralna sredina,2
2021,"nivo ušešća (1 - mali, 2 - srednji, 3 - veliki)",promocija higijene,2
2021,"nivo ušešća (1 - mali, 2 - srednji, 3 - veliki)",planiranje i upravljanje vodenim resursima,2
