Year,Units,Kategorija,Value
2013,miliona dolara (2020),energija mora,0.0
2013,miliona dolara (2020),hidro-energija,0.0
2013,miliona dolara (2020),bio-energija,0.0
2013,miliona dolara (2020),sve,0.0
2013,miliona dolara (2020),vjetar,0.0
2014,miliona dolara (2020),vjetar,0.0
2014,miliona dolara (2020),solarno,0.0
2014,miliona dolara (2020),više izvora,29.94
2014,miliona dolara (2020),energija mora,0.0
2014,miliona dolara (2020),sve,30.25
2014,miliona dolara (2020),geotermalno,0.0
2014,miliona dolara (2020),bio-energija,0.3
2014,miliona dolara (2020),hidro-energija,0.0
2015,miliona dolara (2020),bio-energija,0.0
2015,miliona dolara (2020),sve,91.81
2015,miliona dolara (2020),energija mora,0.0
2015,miliona dolara (2020),geotermalno,0.0
2015,miliona dolara (2020),vjetar,21.67
2015,miliona dolara (2020),solarno,0.0
2015,miliona dolara (2020),više izvora,70.13
2015,miliona dolara (2020),hidro-energija,0.0
2016,miliona dolara (2020),energija mora,0.0
2016,miliona dolara (2020),bio-energija,0.0
2016,miliona dolara (2020),više izvora,0.05
2016,miliona dolara (2020),solarno,5.09
2016,miliona dolara (2020),sve,5.14
2016,miliona dolara (2020),vjetar,0.0
2016,miliona dolara (2020),hidro-energija,0.0
2016,miliona dolara (2020),geotermalno,0.0
2017,miliona dolara (2020),geotermalno,0.0
2000,miliona dolara (2020),hidro-energija,0.0
2000,miliona dolara (2020),sve,0.0
2000,miliona dolara (2020),više izvora,0.0
2000,miliona dolara (2020),energija mora,0.0
2000,miliona dolara (2020),geotermalno,0.0
2017,miliona dolara (2020),bio-energija,0.0
2017,miliona dolara (2020),hidro-energija,0.0
2017,miliona dolara (2020),sve,0.01
2017,miliona dolara (2020),vjetar,0.0
2017,miliona dolara (2020),solarno,0.0
2017,miliona dolara (2020),više izvora,0.01
2017,miliona dolara (2020),energija mora,0.0
2018,miliona dolara (2020),vjetar,0.0
2018,miliona dolara (2020),sve,0.03
2018,miliona dolara (2020),geotermalno,0.0
2018,miliona dolara (2020),bio-energija,0.0
2018,miliona dolara (2020),više izvora,0.03
2018,miliona dolara (2020),solarno,0.0
2018,miliona dolara (2020),energija mora,0.0
2018,miliona dolara (2020),hidro-energija,0.0
2019,miliona dolara (2020),geotermalno,0.0
2019,miliona dolara (2020),bio-energija,0.0
2019,miliona dolara (2020),vjetar,0.0
2019,miliona dolara (2020),solarno,0.0
2019,miliona dolara (2020),više izvora,96.78
2019,miliona dolara (2020),energija mora,0.0
2019,miliona dolara (2020),hidro-energija,0.0
2019,miliona dolara (2020),sve,96.78
2020,miliona dolara (2020),geotermalno,0.0
2020,miliona dolara (2020),bio-energija,0.0
2020,miliona dolara (2020),sve,18.35
