Year,Units,Pol,Value
2010,%,,19.7
2011,%,,19.7
2012,%,,19.7
2013,%,,19.5
2014,%,,18.0
2015,%,,17.6
2016,%,,17.7
2017,%,,16.1
2018,%,,15.2
2019,%,,15.1
2020,%,,17.9
2021,%,,16.6
2022,%,,14.7
2023,%,,13.1
2010,%,Muškarci,18.9
2011,%,Muškarci,19.5
2012,%,Muškarci,19.3
2013,%,Muškarci,20.0
2014,%,Muškarci,17.8
2015,%,Muškarci,17.7
2016,%,Muškarci,18.2
2017,%,Muškarci,15.4
2018,%,Muškarci,15.2
2019,%,Muškarci,14.7
2020,%,Muškarci,17.5
2021,%,Muškarci,17.1
2022,%,Muškarci,16.2
2023,%,Muškarci,12.2
2010,%,Žene,20.7
2011,%,Žene,20.0
2012,%,Žene,20.3
2013,%,Žene,18.8
2014,%,Žene,18.2
2015,%,Žene,17.3
2016,%,Žene,17.1
2017,%,Žene,17.0
2018,%,Žene,15.1
2019,%,Žene,15.7
2020,%,Žene,18.4
2021,%,Žene,15.8
2022,%,Žene,12.8
2023,%,Žene,14.0
