Year,Kategorija,Units,Starost,Lokacija,Pol,Value
2012,Udio stanovništva ispod međunarodne linije siromaštva,procenat,65 godina,Sve lokacije,Oba pola,0.55769
2012,Udio stanovništva ispod međunarodne linije siromaštva,procenat,sva godišta,Sve lokacije,Žene,3.06881
2012,Udio stanovništva ispod međunarodne linije siromaštva,procenat,sva godišta,Sve lokacije,Muškarci,3.00937
2012,Udio stanovništva ispod međunarodne linije siromaštva,procenat,15-64 godine,Sve lokacije,Oba pola,2.65721
2012,Udio stanovništva ispod međunarodne linije siromaštva,procenat,sva godišta,Gradsko,Oba pola,1.65522
2012,Udio stanovništva ispod međunarodne linije siromaštva,procenat,manje od 15 godina,Sve lokacije,Oba pola,6.09358
2012,Udio stanovništva ispod međunarodne linije siromaštva,procenat,sva godišta,Ruralno,Oba pola,5.54259
2012,Udio stanovništva ispod međunarodne linije siromaštva,procenat,Sve lokacije,Oba pola,sva godišta,3.0
2013,Udio stanovništva ispod međunarodne linije siromaštva,procenat,Sve lokacije,Oba pola,sva godišta,3.0
2014,Udio stanovništva ispod međunarodne linije siromaštva,procenat,sva godišta,Sve lokacije,Oba pola,1.6
2015,Udio stanovništva ispod međunarodne linije siromaštva,procenat,sva godišta,Sve lokacije,Oba pola,1.3
2015,Udio stanovništva ispod međunarodne linije siromaštva,procenat,65 godina,Sve lokacije,Oba pola,0.31506
2015,Udio stanovništva ispod međunarodne linije siromaštva,procenat,sva godišta,Sve lokacije,Žene,1.34876
2015,Udio stanovništva ispod međunarodne linije siromaštva,procenat,sva godišta,Sve lokacije,Muškarci,1.39571
2015,Udio stanovništva ispod međunarodne linije siromaštva,procenat,sva godišta,Ruralno,Oba pola,2.03857
2015,Udio stanovništva ispod međunarodne linije siromaštva,procenat,manje od 15 godina,Sve lokacije,Oba pola,2.50301
2015,Udio stanovništva ispod međunarodne linije siromaštva,procenat,15-64 godine,Sve lokacije,Oba pola,1.29925
2015,Udio stanovništva ispod međunarodne linije siromaštva,procenat,sva godišta,Gradsko,Oba pola,1.00371
2016,Udio stanovništva ispod međunarodne linije siromaštva,procenat,manje od 15 godina,Sve lokacije,Oba pola,5.43437
2016,Udio stanovništva ispod međunarodne linije siromaštva,procenat,15-64 godine,Sve lokacije,Oba pola,2.75455
2016,Udio stanovništva ispod međunarodne linije siromaštva,procenat,65 godina,Sve lokacije,Oba pola,0.76936
2016,Udio stanovništva ispod međunarodne linije siromaštva,procenat,sva godišta,Sve lokacije,Žene,2.73793
2016,Udio stanovništva ispod međunarodne linije siromaštva,procenat,sva godišta,Sve lokacije,Muškarci,3.09465
2016,Udio stanovništva ispod međunarodne linije siromaštva,procenat,sva godišta,Ruralno,Oba pola,4.82791
2016,Udio stanovništva ispod međunarodne linije siromaštva,procenat,sva godišta,Gradsko,Oba pola,1.87255
2016,Udio stanovništva ispod međunarodne linije siromaštva,procenat,sva godišta,Sve lokacije,Oba pola,2.5
2017,Udio stanovništva ispod međunarodne linije siromaštva,procenat,sva godišta,Sve lokacije,Oba pola,3.3
2017,Udio stanovništva ispod međunarodne linije siromaštva,procenat,sva godišta,Sve lokacije,Muškarci,3.83513
2017,Udio stanovništva ispod međunarodne linije siromaštva,procenat,sva godišta,Ruralno,Oba pola,5.92658
2017,Udio stanovništva ispod međunarodne linije siromaštva,procenat,sva godišta,Gradsko,Oba pola,2.91836
2017,Udio stanovništva ispod međunarodne linije siromaštva,procenat,manje od 15 godina,Sve lokacije,Oba pola,6.32738
2017,Udio stanovništva ispod međunarodne linije siromaštva,procenat,15-64 godine,Sve lokacije,Oba pola,3.90099
2017,Udio stanovništva ispod međunarodne linije siromaštva,procenat,65 godina,Sve lokacije,Oba pola,0.9207
2017,Udio stanovništva ispod međunarodne linije siromaštva,procenat,sva godišta,Sve lokacije,Žene,4.14393
2018,Udio stanovništva ispod međunarodne linije siromaštva,procenat,manje od 15 godina,Sve lokacije,Oba pola,4.73384
2018,Udio stanovništva ispod međunarodne linije siromaštva,procenat,sva godišta,Sve lokacije,Muškarci,2.91803
2018,Udio stanovništva ispod međunarodne linije siromaštva,procenat,sva godišta,Sve lokacije,Žene,2.87483
2018,Udio stanovništva ispod međunarodne linije siromaštva,procenat,65 godina,Sve lokacije,Oba pola,0.67567
2018,Udio stanovništva ispod međunarodne linije siromaštva,procenat,15-64 godine,Sve lokacije,Oba pola,2.86565
2018,Udio stanovništva ispod međunarodne linije siromaštva,procenat,sva godišta,Ruralno,Oba pola,4.9446
2018,Udio stanovništva ispod međunarodne linije siromaštva,procenat,sva godišta,Gradsko,Oba pola,1.76243
2018,Udio stanovništva ispod međunarodne linije siromaštva,procenat,sva godišta,Sve lokacije,Oba pola,2.8
2019,Udio stanovništva ispod međunarodne linije siromaštva,procenat,Sve lokacije,Oba pola,sva godišta,2.0
