Year,Units,Pol,Starost,Lokacija,Value
2013,procenat,,,,25.2
2014,procenat,,,,24.1
2015,procenat,,,,24.4
2016,procenat,,,,24.0
2017,procenat,,,,23.6
2018,procenat,,,,23.8
2019,procenat,,,,24.5
2020,procenat,,,,22.6
2021,procenat,,,,21.2
2022,procenat,,,,20.3
2023,procenat,,,,20.1
2013,procenat,Muškarci,,,24.9
2014,procenat,Muškarci,,,24.2
2015,procenat,Muškarci,,,24.4
2016,procenat,Muškarci,,,24.5
2017,procenat,Muškarci,,,24.2
2018,procenat,Muškarci,,,24.1
2019,procenat,Muškarci,,,24.9
2020,procenat,Muškarci,,,23.0
2021,procenat,Muškarci,,,21.1
2022,procenat,Muškarci,,,20.0
2023,procenat,Muškarci,,,20.2
2013,procenat,Žene,,,25.4
2014,procenat,Žene,,,23.9
2015,procenat,Žene,,,24.5
2016,procenat,Žene,,,23.6
2017,procenat,Žene,,,23.0
2018,procenat,Žene,,,23.5
2019,procenat,Žene,,,24.0
2020,procenat,Žene,,,22.2
2021,procenat,Žene,,,21.3
2022,procenat,Žene,,,20.6
2023,procenat,Žene,,,19.9
2013,procenat,,manje od 18 godina,,34.7
2014,procenat,,manje od 18 godina,,31.8
2015,procenat,,manje od 18 godina,,32.6
2016,procenat,,manje od 18 godina,,30.9
2017,procenat,,manje od 18 godina,,31.7
2018,procenat,,manje od 18 godina,,32.4
2019,procenat,,manje od 18 godina,,33.7
2020,procenat,,manje od 18 godina,,32.6
2021,procenat,,manje od 18 godina,,30.5
2022,procenat,,manje od 18 godina,,28.4
2023,procenat,,manje od 18 godina,,27.3
2013,procenat,,18-24 godine,,27.7
2014,procenat,,18-24 godine,,30.8
2015,procenat,,18-24 godine,,28.0
2016,procenat,,18-24 godine,,29.6
2017,procenat,,18-24 godine,,27.8
2018,procenat,,18-24 godine,,25.0
2019,procenat,,18-24 godine,,30.5
2020,procenat,,18-24 godine,,25.2
2021,procenat,,18-24 godine,,24.7
2022,procenat,,18-24 godine,,25.8
2023,procenat,,18-24 godine,,24.4
2013,procenat,,25-54 godine,,24.4
2014,procenat,,25-54 godine,,23.3
2015,procenat,,25-54 godine,,23.4
2016,procenat,,25-54 godine,,22.6
2017,procenat,,25-54 godine,,22.5
2018,procenat,,25-54 godine,,22.4
2019,procenat,,25-54 godine,,22.5
2020,procenat,,25-54 godine,,20.4
2021,procenat,,25-54 godine,,19.6
2022,procenat,,25-54 godine,,18.6
2023,procenat,,25-54 godine,,18.3
2013,procenat,,55-64 godine,,16.0
2014,procenat,,55-64 godine,,16.3
2015,procenat,,55-64 godine,,19.9
2016,procenat,,55-64 godine,,20.3
2017,procenat,,55-64 godine,,18.8
2018,procenat,,55-64 godine,,18.6
2019,procenat,,55-64 godine,,19.0
2020,procenat,,55-64 godine,,17.3
2021,procenat,,55-64 godine,,15.5
2022,procenat,,55-64 godine,,13.4
2023,procenat,,55-64 godine,,14.9
2013,procenat,,65 ili više godina,,15.6
2014,procenat,,65 ili više godina,,13.1
2015,procenat,,65 ili više godina,,14.9
2016,procenat,,65 ili više godina,,16.1
2017,procenat,,65 ili više godina,,15.4
2018,procenat,,65 ili više godina,,15.3
2019,procenat,,65 ili više godina,,15.1
2020,procenat,,65 ili više godina,,15.5
2021,procenat,,65 ili više godina,,13.8
2022,procenat,,65 ili više godina,,14.3
2023,procenat,,65 ili više godina,,13.8
2013,procenat,,18-64 godine,,23.3
2014,procenat,,18-64 godine,,23.2
2015,procenat,,18-64 godine,,23.4
2016,procenat,,18-64 godine,,23.2
2017,procenat,,18-64 godine,,22.5
2018,procenat,,18-64 godine,,22.0
2019,procenat,,18-64 godine,,23.0
2020,procenat,,18-64 godine,,20.5
2021,procenat,,18-64 godine,,19.6
2022,procenat,,18-64 godine,,18.7
2023,procenat,,18-64 godine,,18.6
2013,procenat,,,Gradsko,19.0
2014,procenat,,,Gradsko,18.7
2015,procenat,,,Gradsko,17.8
2016,procenat,,,Gradsko,18.8
2017,procenat,,,Gradsko,17.5
2018,procenat,,,Gradsko,17.3
2019,procenat,,,Gradsko,17.9
2020,procenat,,,Gradsko,16.9
2021,procenat,,,Gradsko,16.6
2013,procenat,,,Ruralno,36.4
2014,procenat,,,Ruralno,33.8
2015,procenat,,,Ruralno,36.5
2016,procenat,,,Ruralno,33.5
2017,procenat,,,Ruralno,34.8
2018,procenat,,,Ruralno,35.6
2019,procenat,,,Ruralno,36.3
2020,procenat,,,Ruralno,32.9
2021,procenat,,,Ruralno,29.6
2024,procenat,,,,19.9
2024,procenat,Muškarci,,,19.8
2024,procenat,Žene,,,20.1
2024,procenat,,manje od 18 godina,,25.6
2024,procenat,,18-24 godine,,22.1
2024,procenat,,25-54 godine,,17.3
2024,procenat,,55-64 godine,,16.8
2024,procenat,,65 ili više godina,,20.5
2024,procenat,,18-64 godine,,17.8
