Year,Units,Kategorija,Value
2010,procenat,AGR,92.02658
2010,procenat,IND,89.34123
2010,procenat,CLO,75.86207
2010,procenat,TEX,94.28571
2010,procenat,ALP,89.04261
2010,procenat,ARM,100.0
2015,procenat,ARM,80.0
2015,procenat,ALP,88.58781
2015,procenat,IND,89.37876
2015,procenat,TEX,88.88889
2015,procenat,CLO,83.07692
2015,procenat,AGR,86.07595
2016,procenat,CLO,79.71014
2016,procenat,IND,90.97744
2016,procenat,TEX,86.48649
2016,procenat,ALP,90.0161
2016,procenat,AGR,88.23529
2016,procenat,ARM,80.0
2017,procenat,ARM,50.0
2017,procenat,AGR,87.91946
2017,procenat,TEX,69.04762
2017,procenat,ALP,86.87534
2017,procenat,IND,87.45571
2017,procenat,CLO,82.35294
2018,procenat,CLO,82.35294
2018,procenat,IND,87.79276
2018,procenat,ALP,87.19076
2018,procenat,AGR,88.21549
2018,procenat,ARM,50.0
2018,procenat,TEX,69.76744
2019,procenat,ARM,83.33333
2019,procenat,IND,84.8537
2019,procenat,CLO,77.51938
2019,procenat,TEX,79.10448
2019,procenat,ALP,83.71991
2019,procenat,AGR,81.17647
2020,procenat,ALP,85.24955
2020,procenat,IND,88.23174
2020,procenat,CLO,73.21429
2020,procenat,ARM,42.85714
2020,procenat,AGR,77.74725
2020,procenat,TEX,87.5
2021,procenat,TEX,70.58824
2021,procenat,AGR,80.6366
2021,procenat,ARM,45.45455
2021,procenat,ALP,82.08163
2021,procenat,CLO,69.64286
2021,procenat,IND,84.17306
2022,procenat,CLO,81.93548
2022,procenat,ALP,85.44237
2022,procenat,AGR,82.03125
2022,procenat,TEX,77.46479
2022,procenat,IND,86.57053
2022,procenat,ARM,75.0
