Year,Units,Kategorija,Value
2011,tone,Reciklirane količine otpada (R2-R11 + izvoz),62408.5
2012,tone,Reciklirane količine otpada (R2-R11 + izvoz),83782.8
2013,tone,Reciklirane količine otpada (R2-R11 + izvoz),95912.5
2014,tone,Reciklirane količine otpada (R2-R11 + izvoz),85900.3
2015,tone,Reciklirane količine otpada (R2-R11 + izvoz),57390.9
2016,tone,Reciklirane količine otpada (R2-R11 + izvoz),65469.6
2017,tone,Reciklirane količine otpada (R2-R11 + izvoz),80158.7
2018,tone,Reciklirane količine otpada (R2-R11 + izvoz),105281.5
2019,tone,Reciklirane količine otpada (R2-R11 + izvoz),183447.3
2020,tone,Reciklirane količine otpada (R2-R11 + izvoz),134864.8
2021,tone,Reciklirane količine otpada (R2-R11 + izvoz),214273.3
2022,tone,Reciklirane količine otpada (R2-R11 + izvoz),238409.9
2023,tone,Reciklirane količine otpada (R2-R11 + izvoz),264103.7
2011,tone,Ukupne stvorene količine otpada,1132479.7
2012,tone,Ukupne stvorene količine otpada,1027342.7
2013,tone,Ukupne stvorene količine otpada,1117588.7
2014,tone,Ukupne stvorene količine otpada,1103608.6
2015,tone,Ukupne stvorene količine otpada,1148148.7
2016,tone,Ukupne stvorene količine otpada,1153331.4
2017,tone,Ukupne stvorene količine otpada,1135054.5
2018,tone,Ukupne stvorene količine otpada,1261159.7
2019,tone,Ukupne stvorene količine otpada,1276244.6
2020,tone,Ukupne stvorene količine otpada,1314393.6
2021,tone,Ukupne stvorene količine otpada,1477865.8
2022,tone,Ukupne stvorene količine otpada,1411673.7
2023,tone,Ukupne stvorene količine otpada,1314292.4
