Year,Units,Popis stanovništva i domaćinstava,Registar rođenih/umrlih,Value
2011,da/ne,popis stanovništva i domaćinstava,,1.0
2010,%,,Upis u matičnu knjigu rođenih,99.97
2011,%,,Upis u matičnu knjigu rođenih,100.0
2012,%,,Upis u matičnu knjigu rođenih,100.0
2013,%,,Upis u matičnu knjigu rođenih,100.0
2014,%,,Upis u matičnu knjigu rođenih,100.0
2015,%,,Upis u matičnu knjigu rođenih,100.0
2016,%,,Upis u matičnu knjigu rođenih,100.0
2017,%,,Upis u matičnu knjigu rođenih,100.0
2018,%,,Upis u matičnu knjigu rođenih,100.0
2019,%,,Upis u matičnu knjigu rođenih,100.0
2020,%,,Upis u matičnu knjigu rođenih,100.0
2021,%,,Upis u matičnu knjigu rođenih,100.0
2010,%,,Upis u matičnu knjigu umrlih,100.0
2011,%,,Upis u matičnu knjigu umrlih,100.0
2012,%,,Upis u matičnu knjigu umrlih,100.0
2013,%,,Upis u matičnu knjigu umrlih,100.0
2014,%,,Upis u matičnu knjigu umrlih,100.0
2015,%,,Upis u matičnu knjigu umrlih,100.0
2016,%,,Upis u matičnu knjigu umrlih,100.0
2017,%,,Upis u matičnu knjigu umrlih,100.0
2018,%,,Upis u matičnu knjigu umrlih,100.0
2019,%,,Upis u matičnu knjigu umrlih,100.0
2020,%,,Upis u matičnu knjigu umrlih,100.0
2021,%,,Upis u matičnu knjigu umrlih,100.0
