Year,Units,Value
2006,miliona dolara (2021),1.47865
2007,miliona dolara (2021),2.50668
2008,miliona dolara (2021),2.10736
2009,miliona dolara (2021),6.07342
2010,miliona dolara (2021),7.46717
2011,miliona dolara (2021),7.79048
2012,miliona dolara (2021),10.59857
2013,miliona dolara (2021),10.2983
2014,miliona dolara (2021),7.97613
2015,miliona dolara (2021),25.00785
2016,miliona dolara (2021),4.36011
2017,miliona dolara (2021),23.64829
2018,miliona dolara (2021),11.03862
2019,miliona dolara (2021),7.61836
2020,miliona dolara (2021),7.67735
2021,miliona dolara (2021),5.57126
2022,miliona dolara (2021),10.5645
