Year,Units,Value
2010,ukupno novoinficiranih,116.0
2011,ukupno novoinficiranih,119.0
2012,ukupno novoinficiranih,108.0
2013,ukupno novoinficiranih,120.0
2014,ukupno novoinficiranih,113.0
2015,ukupno novoinficiranih,80.0
2016,ukupno novoinficiranih,87.0
2017,ukupno novoinficiranih,72.0
2018,ukupno novoinficiranih,84.0
2019,ukupno novoinficiranih,82.0
2020,ukupno novoinficiranih,40.0
2010,na 100 000 ljudi,18.72
2011,na 100 000 ljudi,19.19
2012,na 100 000 ljudi,17.41
2013,na 100 000 ljudi,19.35
2014,na 100 000 ljudi,18.22
2015,na 100 000 ljudi,12.9
2016,na 100 000 ljudi,14.03
2017,na 100 000 ljudi,11.61
2018,na 100 000 ljudi,13.54
2019,na 100 000 ljudi,13.22
2020,na 100 000 ljudi,6.45
