Year,Units,Starost,Value
2010,na 1000 žena,15-19 i 10-14 godina,16.8
2011,na 1000 žena,15-19 i 10-14 godina,14.3
2012,na 1000 žena,15-19 i 10-14 godina,13.2
2013,na 1000 žena,15-19 i 10-14 godina,11.9
2014,na 1000 žena,15-19 i 10-14 godina,11.1
2015,na 1000 žena,15-19 i 10-14 godina,10.7
2016,na 1000 žena,15-19 i 10-14 godina,9.7
2017,na 1000 žena,15-19 i 10-14 godina,9.8
2018,na 1000 žena,15-19 i 10-14 godina,9.5
2019,na 1000 žena,15-19 i 10-14 godina,11.2
2020,na 1000 žena,15-19 i 10-14 godina,9.3
