Year,Units,Starost,Pol,Value
2010,%,15-24 godine,,66.9
2011,%,15-24 godine,,71.5
2012,%,15-24 godine,,71.0
2013,%,15-24 godine,,71.2
2014,%,15-24 godine,,67.6
2015,%,15-24 godine,,67.2
2016,%,15-24 godine,,65.9
2017,%,15-24 godine,,66.2
2018,%,15-24 godine,,65.9
2019,%,15-24 godine,,60.8
2020,%,15-24 godine,,61.7
2021,%,15-24 godine,,65.2
2022,%,15-24 godine,,58.3
2023,%,15-24 godine,,55.9
2010,%,15-24 godine,Muškarci,64.2
2011,%,15-24 godine,Muškarci,68.0
2012,%,15-24 godine,Muškarci,69.9
2013,%,15-24 godine,Muškarci,68.6
2014,%,15-24 godine,Muškarci,63.8
2015,%,15-24 godine,Muškarci,65.1
2016,%,15-24 godine,Muškarci,63.4
2017,%,15-24 godine,Muškarci,64.0
2018,%,15-24 godine,Muškarci,59.6
2019,%,15-24 godine,Muškarci,54.8
2020,%,15-24 godine,Muškarci,57.2
2021,%,15-24 godine,Muškarci,59.7
2022,%,15-24 godine,Muškarci,53.8
2022,%,15-24 godine,Muškarci,50.3
2010,%,15-24 godine,Žene,69.8
2011,%,15-24 godine,Žene,75.3
2012,%,15-24 godine,Žene,72.6
2013,%,15-24 godine,Žene,73.9
2014,%,15-24 godine,Žene,71.7
2015,%,15-24 godine,Žene,69.4
2016,%,15-24 godine,Žene,68.5
2017,%,15-24 godine,Žene,68.7
2018,%,15-24 godine,Žene,72.6
2019,%,15-24 godine,Žene,67.2
2020,%,15-24 godine,Žene,66.6
2021,%,15-24 godine,Žene,71.0
2022,%,15-24 godine,Žene,63.2
2023,%,15-24 godine,Žene,62.1
2010,%,25-64 godine,,2.4
2011,%,25-64 godine,,2.8
2012,%,25-64 godine,,2.5
2013,%,25-64 godine,,3.1
2014,%,25-64 godine,,2.9
2015,%,25-64 godine,,3.0
2016,%,25-64 godine,,3.3
2017,%,25-64 godine,,2.8
2018,%,25-64 godine,,3.3
2019,%,25-64 godine,,2.5
2020,%,25-64 godine,,2.7
2021,%,25-64 godine,,5.2
2022,%,25-64 godine,,3.2
2023,%,25-64 godine,,2.8
2010,%,25-64 godine,Muškarci,2.5
2011,%,25-64 godine,Muškarci,3.1
2012,%,25-64 godine,Muškarci,2.8
2013,%,25-64 godine,Muškarci,3.0
2014,%,25-64 godine,Muškarci,3.1
2015,%,25-64 godine,Muškarci,3.4
2016,%,25-64 godine,Muškarci,3.7
2017,%,25-64 godine,Muškarci,3.3
2018,%,25-64 godine,Muškarci,3.4
2019,%,25-64 godine,Muškarci,2.1
2020,%,25-64 godine,Muškarci,2.6
2021,%,25-64 godine,Muškarci,5.0
2022,%,25-64 godine,Muškarci,3.0
2023,%,25-64 godine,Muškarci,2.2
2010,%,25-64 godine,Žene,2.3
2011,%,25-64 godine,Žene,2.5
2012,%,25-64 godine,Žene,2.2
2013,%,25-64 godine,Žene,3.3
2014,%,25-64 godine,Žene,2.7
2015,%,25-64 godine,Žene,2.5
2016,%,25-64 godine,Žene,2.9
2017,%,25-64 godine,Žene,2.7
2018,%,25-64 godine,Žene,3.1
2019,%,25-64 godine,Žene,3.0
2020,%,25-64 godine,Žene,2.8
2021,%,25-64 godine,Žene,5.4
2022,%,25-64 godine,Žene,3.4
2023,%,25-64 godine,Žene,3.5
