Year,Units,Starost,Kategorija,Value
2013,%,mladi,Prenos datoteka između računara ili drugih uređaja,51.3
2013,%,odrasli,Prenos datoteka između računara ili drugih uređaja,42.0
2014,%,mladi,Prenos datoteka između računara ili drugih uređaja,68.4
2014,%,odrasli,Prenos datoteka između računara ili drugih uređaja,51.9
2015,%,mladi,Prenos datoteka između računara ili drugih uređaja,93.0
2015,%,odrasli,Prenos datoteka između računara ili drugih uređaja,88.7
2016,%,mladi,Prenos datoteka između računara ili drugih uređaja,93.7
2016,%,odrasli,Prenos datoteka između računara ili drugih uređaja,90.1
2017,%,mladi,Prenos datoteka između računara ili drugih uređaja,96.8
2017,%,odrasli,Prenos datoteka između računara ili drugih uređaja,93.5
2018,%,mladi,Prenos datoteka između računara ili drugih uređaja,91.0
2018,%,odrasli,Prenos datoteka između računara ili drugih uređaja,93.1
2019,%,mladi,Prenos datoteka između računara ili drugih uređaja,97.4
2019,%,odrasli,Prenos datoteka između računara ili drugih uređaja,92.9
2020,%,mladi,Prenos datoteka između računara ili drugih uređaja,96.5
2020,%,odrasli,Prenos datoteka između računara ili drugih uređaja,90.8
2015,%,mladi,Instaliranje softvera ili aplikacija,39.3
2015,%,odrasli,Instaliranje softvera ili aplikacija,31.9
2016,%,mladi,Instaliranje softvera ili aplikacija,54.7
2016,%,odrasli,Instaliranje softvera ili aplikacija,39.4
2017,%,mladi,Instaliranje softvera ili aplikacija,65.5
2017,%,odrasli,Instaliranje softvera ili aplikacija,51.3
2018,%,mladi,Instaliranje softvera ili aplikacija,70.9
2018,%,odrasli,Instaliranje softvera ili aplikacija,53.5
2019,%,mladi,Instaliranje softvera ili aplikacija,74.3
2019,%,odrasli,Instaliranje softvera ili aplikacija,55.5
2020,%,mladi,Instaliranje softvera ili aplikacija,73.8
2020,%,odrasli,Instaliranje softvera ili aplikacija,58.5
2021,%,mladi,Instaliranje softvera ili aplikacija,63.7
2021,%,odrasli,Instaliranje softvera ili aplikacija,59.7
2022,%,mladi,Instaliranje softvera ili aplikacija,61.5
2022,%,odrasli,Instaliranje softvera ili aplikacija,56.9
2015,%,mladi,"Promjena postavki softvera, uključujući operativni sistem ili sigurnosne programe",7.9
2015,%,odrasli,"Promjena postavki softvera, uključujući operativni sistem ili sigurnosne programe",7.2
2016,%,mladi,"Promjena postavki softvera, uključujući operativni sistem ili sigurnosne programe",26.1
2016,%,odrasli,"Promjena postavki softvera, uključujući operativni sistem ili sigurnosne programe",17.1
2017,%,mladi,"Promjena postavki softvera, uključujući operativni sistem ili sigurnosne programe",35.6
2017,%,odrasli,"Promjena postavki softvera, uključujući operativni sistem ili sigurnosne programe",28.0
2018,%,mladi,"Promjena postavki softvera, uključujući operativni sistem ili sigurnosne programe",34.6
2018,%,odrasli,"Promjena postavki softvera, uključujući operativni sistem ili sigurnosne programe",27.6
2019,%,mladi,"Promjena postavki softvera, uključujući operativni sistem ili sigurnosne programe",39.3
2019,%,odrasli,"Promjena postavki softvera, uključujući operativni sistem ili sigurnosne programe",27.9
2020,%,mladi,"Promjena postavki softvera, uključujući operativni sistem ili sigurnosne programe",40.9
2020,%,odrasli,"Promjena postavki softvera, uključujući operativni sistem ili sigurnosne programe",26.2
2021,%,mladi,"Promjena postavki softvera, uključujući operativni sistem ili sigurnosne programe",31.3
2021,%,odrasli,"Promjena postavki softvera, uključujući operativni sistem ili sigurnosne programe",27.2
2022,%,mladi,"Promjena postavki softvera, uključujući operativni sistem ili sigurnosne programe",36.0
2022,%,odrasli,"Promjena postavki softvera, uključujući operativni sistem ili sigurnosne programe",29.5
2013,%,mladi,Kopiranje ili premještanje datoteka ili foldera,83.4
2013,%,odrasli,Kopiranje ili premještanje datoteka ili foldera,72.0
2014,%,mladi,Kopiranje ili premještanje datoteka ili foldera,92.4
2014,%,odrasli,Kopiranje ili premještanje datoteka ili foldera,78.7
2015,%,mladi,Kopiranje ili premještanje datoteka ili foldera,94.9
2015,%,odrasli,Kopiranje ili premještanje datoteka ili foldera,94.2
2016,%,mladi,Kopiranje ili premještanje datoteka ili foldera,97.3
2016,%,odrasli,Kopiranje ili premještanje datoteka ili foldera,94.4
2017,%,mladi,Kopiranje ili premještanje datoteka ili foldera,95.3
2017,%,odrasli,Kopiranje ili premještanje datoteka ili foldera,95.2
2018,%,mladi,Kopiranje ili premještanje datoteka ili foldera,98.5
2018,%,odrasli,Kopiranje ili premještanje datoteka ili foldera,95.9
2019,%,mladi,Kopiranje ili premještanje datoteka ili foldera,100.0
2019,%,odrasli,Kopiranje ili premještanje datoteka ili foldera,95.9
2020,%,mladi,Kopiranje ili premještanje datoteka ili foldera,98.4
2020,%,odrasli,Kopiranje ili premještanje datoteka ili foldera,94.8
2015,%,mladi,Korišćenje softvera za obradu teksta,75.9
2015,%,odrasli,Korišćenje softvera za obradu teksta,64.6
2016,%,mladi,Korišćenje softvera za obradu teksta,77.8
2016,%,odrasli,Korišćenje softvera za obradu teksta,66.9
2017,%,mladi,Korišćenje softvera za obradu teksta,73.4
2017,%,odrasli,Korišćenje softvera za obradu teksta,65.2
2018,%,mladi,Korišćenje softvera za obradu teksta,85.4
2018,%,odrasli,Korišćenje softvera za obradu teksta,67.4
2019,%,mladi,Korišćenje softvera za obradu teksta,79.3
2019,%,odrasli,Korišćenje softvera za obradu teksta,68.2
2020,%,mladi,Korišćenje softvera za obradu teksta,85.6
2020,%,odrasli,Korišćenje softvera za obradu teksta,70.2
2021,%,mladi,Korišćenje softvera za obradu teksta,76.4
2021,%,odrasli,Korišćenje softvera za obradu teksta,70.1
2022,%,mladi,Korišćenje softvera za obradu teksta,78.4
2022,%,odrasli,Korišćenje softvera za obradu teksta,70.6
2013,%,mladi,presentations,27.8
2013,%,odrasli,presentations,15.7
2014,%,mladi,presentations,29.5
2014,%,odrasli,presentations,18.9
2015,%,mladi,presentations,36.3
2015,%,odrasli,presentations,21.2
2016,%,mladi,presentations,43.4
2016,%,odrasli,presentations,29.8
2017,%,mladi,presentations,53.0
2017,%,odrasli,presentations,38.1
2018,%,mladi,presentations,57.3
2018,%,odrasli,presentations,40.8
2019,%,mladi,presentations,56.5
2019,%,odrasli,presentations,43.5
2020,%,mladi,presentations,64.0
2020,%,odrasli,presentations,40.4
2021,%,mladi,presentations,
2021,%,odrasli,presentations,42.0
2022,%,mladi,presentations,67.6
2022,%,odrasli,presentations,43.8
2013,%,mladi,Korišćenje softvera za tabelarnu obradu podataka,19.1
2013,%,odrasli,Korišćenje softvera za tabelarnu obradu podataka,15.9
2014,%,mladi,Korišćenje softvera za tabelarnu obradu podataka,29.7
2014,%,odrasli,Korišćenje softvera za tabelarnu obradu podataka,22.9
2015,%,mladi,Korišćenje softvera za tabelarnu obradu podataka,47.5
2015,%,odrasli,Korišćenje softvera za tabelarnu obradu podataka,35.8
2016,%,mladi,Korišćenje softvera za tabelarnu obradu podataka,42.3
2016,%,odrasli,Korišćenje softvera za tabelarnu obradu podataka,36.3
2017,%,mladi,Korišćenje softvera za tabelarnu obradu podataka,44.4
2017,%,odrasli,Korišćenje softvera za tabelarnu obradu podataka,32.4
2018,%,mladi,Korišćenje softvera za tabelarnu obradu podataka,53.4
2018,%,odrasli,Korišćenje softvera za tabelarnu obradu podataka,34.2
2019,%,mladi,Korišćenje softvera za tabelarnu obradu podataka,51.9
2019,%,odrasli,Korišćenje softvera za tabelarnu obradu podataka,37.5
2020,%,mladi,Korišćenje softvera za tabelarnu obradu podataka,58.1
2020,%,odrasli,Korišćenje softvera za tabelarnu obradu podataka,38.4
2021,%,mladi,Korišćenje softvera za tabelarnu obradu podataka,54.7
2021,%,odrasli,Korišćenje softvera za tabelarnu obradu podataka,40.2
2022,%,mladi,Korišćenje softvera za tabelarnu obradu podataka,46.8
2022,%,odrasli,Korišćenje softvera za tabelarnu obradu podataka,40.3
2015,%,mladi,"Upotreba naprednih funkcija softvera za tabelarnu obradu podataka za organiziranje i analizu podataka, kao što je sortiranje, filtriranje, korišćenje formula, kreiranje grafikona",20.6
2015,%,odrasli,"Upotreba naprednih funkcija softvera za tabelarnu obradu podataka za organiziranje i analizu podataka, kao što je sortiranje, filtriranje, korišćenje formula, kreiranje grafikona",13.4
2016,%,mladi,"Upotreba naprednih funkcija softvera za tabelarnu obradu podataka za organiziranje i analizu podataka, kao što je sortiranje, filtriranje, korišćenje formula, kreiranje grafikona",29.0
2016,%,odrasli,"Upotreba naprednih funkcija softvera za tabelarnu obradu podataka za organiziranje i analizu podataka, kao što je sortiranje, filtriranje, korišćenje formula, kreiranje grafikona",22.4
2017,%,mladi,"Upotreba naprednih funkcija softvera za tabelarnu obradu podataka za organiziranje i analizu podataka, kao što je sortiranje, filtriranje, korišćenje formula, kreiranje grafikona",29.8
2017,%,odrasli,"Upotreba naprednih funkcija softvera za tabelarnu obradu podataka za organiziranje i analizu podataka, kao što je sortiranje, filtriranje, korišćenje formula, kreiranje grafikona",16.1
2018,%,mladi,"Upotreba naprednih funkcija softvera za tabelarnu obradu podataka za organiziranje i analizu podataka, kao što je sortiranje, filtriranje, korišćenje formula, kreiranje grafikona",37.0
2018,%,odrasli,"Upotreba naprednih funkcija softvera za tabelarnu obradu podataka za organiziranje i analizu podataka, kao što je sortiranje, filtriranje, korišćenje formula, kreiranje grafikona",21.1
2019,%,mladi,"Upotreba naprednih funkcija softvera za tabelarnu obradu podataka za organiziranje i analizu podataka, kao što je sortiranje, filtriranje, korišćenje formula, kreiranje grafikona",57.7
2019,%,odrasli,"Upotreba naprednih funkcija softvera za tabelarnu obradu podataka za organiziranje i analizu podataka, kao što je sortiranje, filtriranje, korišćenje formula, kreiranje grafikona",26.6
2020,%,mladi,"Upotreba naprednih funkcija softvera za tabelarnu obradu podataka za organiziranje i analizu podataka, kao što je sortiranje, filtriranje, korišćenje formula, kreiranje grafikona",41.7
2020,%,odrasli,"Upotreba naprednih funkcija softvera za tabelarnu obradu podataka za organiziranje i analizu podataka, kao što je sortiranje, filtriranje, korišćenje formula, kreiranje grafikona",23.3
2021,%,mladi,"Upotreba naprednih funkcija softvera za tabelarnu obradu podataka za organiziranje i analizu podataka, kao što je sortiranje, filtriranje, korišćenje formula, kreiranje grafikona",38.6
2021,%,odrasli,"Upotreba naprednih funkcija softvera za tabelarnu obradu podataka za organiziranje i analizu podataka, kao što je sortiranje, filtriranje, korišćenje formula, kreiranje grafikona",22.6
2022,%,mladi,"Upotreba naprednih funkcija softvera za tabelarnu obradu podataka za organiziranje i analizu podataka, kao što je sortiranje, filtriranje, korišćenje formula, kreiranje grafikona",35.4
2022,%,odrasli,"Upotreba naprednih funkcija softvera za tabelarnu obradu podataka za organiziranje i analizu podataka, kao što je sortiranje, filtriranje, korišćenje formula, kreiranje grafikona",22.2
2015,%,mladi,photos,40.9
2015,%,odrasli,photos,22.6
2016,%,mladi,photos,31.0
2016,%,odrasli,photos,19.8
2017,%,mladi,photos,27.8
2017,%,odrasli,photos,19.0
2018,%,mladi,photos,36.4
2018,%,odrasli,photos,21.0
2019,%,mladi,photos,38.4
2019,%,odrasli,photos,24.4
2020,%,mladi,photos,49.2
2020,%,odrasli,photos,26.5
2021,%,mladi,photos,37.8
2021,%,odrasli,photos,25.6
2022,%,mladi,photos,49.8
2022,%,odrasli,photos,27.4
2015,%,mladi,programming,3.8
2015,%,odrasli,programming,1.7
2016,%,mladi,programming,3.6
2016,%,odrasli,programming,2.3
2017,%,mladi,programming,6.8
2017,%,odrasli,programming,4.0
2018,%,mladi,programming,8.5
2018,%,odrasli,programming,4.8
2019,%,mladi,programming,8.4
2019,%,odrasli,programming,5.5
2020,%,mladi,programming,14.9
2020,%,odrasli,programming,7.5
2021,%,mladi,programming,14.0
2021,%,odrasli,programming,8.5
2022,%,mladi,programming,9.4
2022,%,odrasli,programming,9.0
