Year,Units,Kategorija,Value
2006,miliona dolara (2021),"Ukupni zvanični tokovi za stipendije, po zemljama primateljima",0.15489
2007,miliona dolara (2021),"Ukupni zvanični tokovi za stipendije, po zemljama primateljima",0.15922
2008,miliona dolara (2021),"Ukupni zvanični tokovi za stipendije, po zemljama primateljima",0.1672
2009,miliona dolara (2021),"Ukupni zvanični tokovi za stipendije, po zemljama primateljima",0.57884
2010,miliona dolara (2021),"Ukupni zvanični tokovi za stipendije, po zemljama primateljima",0.45409
2011,miliona dolara (2021),"Ukupni zvanični tokovi za stipendije, po zemljama primateljima",0.45589
2012,miliona dolara (2021),"Ukupni zvanični tokovi za stipendije, po zemljama primateljima",0.58993
2013,miliona dolara (2021),"Ukupni zvanični tokovi za stipendije, po zemljama primateljima",0.71717
2014,miliona dolara (2021),"Ukupni zvanični tokovi za stipendije, po zemljama primateljima",0.51372
2015,miliona dolara (2021),"Ukupni zvanični tokovi za stipendije, po zemljama primateljima",0.73501
2016,miliona dolara (2021),"Ukupni zvanični tokovi za stipendije, po zemljama primateljima",0.34813
2017,miliona dolara (2021),"Ukupni zvanični tokovi za stipendije, po zemljama primateljima",0.89301
2018,miliona dolara (2021),"Ukupni zvanični tokovi za stipendije, po zemljama primateljima",1.16206
2019,miliona dolara (2021),"Ukupni zvanični tokovi za stipendije, po zemljama primateljima",2.56515
2020,miliona dolara (2021),"Ukupni zvanični tokovi za stipendije, po zemljama primateljima",1.61259
2021,miliona dolara (2021),"Ukupni zvanični tokovi za stipendije, po zemljama primateljima",2.03287
2022,miliona dolara (2021),"Ukupni zvanični tokovi za stipendije, po zemljama primateljima",1.78209
