Year,Units,Lokacija,Value
2008,%,,99.0
2009,%,,99.1
2010,%,,99.2
2011,%,,99.0
2012,%,,99.3
2013,%,,99.7
2014,%,,97.7
2015,%,,99.5
2016,%,,99.6
2017,%,,100.0
2018,%,,100.0
2019,%,,100.0
2020,%,,99.9
2021,%,,99.8
2018,%,Romska naselja,96.4
2000,%,Ruralno,98.2
2000,%,Sve lokacije,99.1
2000,%,Gradsko,99.7
2001,%,Gradsko,99.7
2001,%,Sve lokacije,99.1
2001,%,Ruralno,98.2
2002,%,Sve lokacije,99.0
2002,%,Gradsko,99.6
2002,%,Ruralno,98.2
2003,%,Gradsko,99.5
2003,%,Sve lokacije,99.0
2003,%,Ruralno,98.1
2004,%,Ruralno,98.1
2004,%,Sve lokacije,99.0
2004,%,Gradsko,99.5
2005,%,Gradsko,100.0
2005,%,Sve lokacije,99.8
2005,%,Ruralno,99.5
2006,%,Ruralno,98.1
2006,%,Sve lokacije,99.0
2006,%,Gradsko,99.5
2007,%,Gradsko,99.5
2007,%,Ruralno,98.1
2007,%,Sve lokacije,99.0
2008,%,Sve lokacije,99.0
2008,%,Ruralno,98.1
2008,%,Gradsko,99.6
2009,%,Gradsko,99.6
2009,%,Sve lokacije,99.1
2009,%,Ruralno,98.1
2010,%,Sve lokacije,99.2
2010,%,Gradsko,99.7
2010,%,Ruralno,98.2
2011,%,Ruralno,97.6
2011,%,Gradsko,99.8
2011,%,Sve lokacije,99.0
2012,%,Sve lokacije,99.3
2012,%,Gradsko,99.8
2012,%,Ruralno,98.3
2013,%,Ruralno,99.9
2013,%,Gradsko,99.6
2013,%,Sve lokacije,99.7
2014,%,Sve lokacije,97.7
2014,%,Gradsko,99.6
2014,%,Ruralno,94.1
2015,%,Sve lokacije,99.5
2015,%,Ruralno,98.6
2015,%,Gradsko,99.9
2016,%,Sve lokacije,99.6
2016,%,Gradsko,99.9
2016,%,Ruralno,98.9
2017,%,Ruralno,100.0
2017,%,Gradsko,99.9
2017,%,Sve lokacije,100.0
2018,%,Sve lokacije,100.0
2018,%,Gradsko,100.0
2018,%,Ruralno,100.0
2019,%,Ruralno,99.9
2019,%,Gradsko,100.0
2019,%,Sve lokacije,100.0
2020,%,Sve lokacije,99.9
2020,%,Ruralno,99.5
2020,%,Gradsko,100.0
2021,%,Gradsko,100.0
2021,%,Ruralno,99.4
2021,%,Sve lokacije,99.8
2022,%,Gradsko,100.0
2022,%,Ruralno,100.0
2022,%,Sve lokacije,100.0
