Year,Units,Pol,Value
2010,procenat,,19.7
2011,procenat,,19.7
2012,procenat,,19.7
2013,procenat,,19.5
2014,procenat,,18.0
2015,procenat,,17.6
2016,procenat,,17.7
2017,procenat,,16.1
2018,procenat,,15.2
2019,procenat,,15.1
2020,procenat,,17.9
2021,procenat,,16.6
2022,procenat,,14.7
2023,procenat,,13.1
2010,procenat,Muškarci,18.9
2011,procenat,Muškarci,19.5
2012,procenat,Muškarci,19.3
2013,procenat,Muškarci,20.0
2014,procenat,Muškarci,17.8
2015,procenat,Muškarci,17.7
2016,procenat,Muškarci,18.2
2017,procenat,Muškarci,15.4
2018,procenat,Muškarci,15.2
2019,procenat,Muškarci,14.7
2020,procenat,Muškarci,17.5
2021,procenat,Muškarci,17.1
2022,procenat,Muškarci,16.2
2023,procenat,Muškarci,12.2
2010,procenat,Žene,20.7
2011,procenat,Žene,20.0
2012,procenat,Žene,20.3
2013,procenat,Žene,18.8
2014,procenat,Žene,18.2
2015,procenat,Žene,17.3
2016,procenat,Žene,17.1
2017,procenat,Žene,17.0
2018,procenat,Žene,15.1
2019,procenat,Žene,15.7
2020,procenat,Žene,18.4
2021,procenat,Žene,15.8
2022,procenat,Žene,12.8
2023,procenat,Žene,14.0
2024,procenat,,11.4
2024,procenat,Muškarci,10.8
2024,procenat,Žene,12.2
