Year,Units,Lokacija,Pol,Starost,Value
2018,procenat,,,uzrast 5-17 godina,7.7
2018,procenat,Romska naselja,,uzrast 5-17 godina,6.1
2018,procenat,,Muškarci,uzrast 5-17 godina,8.5
2018,procenat,,Žene,uzrast 5-17 godina,7.0
2018,procenat,Romska naselja,Muškarci,uzrast 5-17 godina,8.1
2018,procenat,Romska naselja,Žene,uzrast 5-17 godina,4.2
2018,procenat,,,uzrast 5-11 godina,14.9
2018,procenat,,,uzrast 12-14 godina,1.0
2018,procenat,,,uzrast 15-17 godina,0.0
2018,procenat,Romska naselja,,uzrast 5-11 godina,6.9
2018,procenat,Romska naselja,,uzrast 12-14 godina,7.0
2018,procenat,Romska naselja,,uzrast 15-17 godina,3.1
