Year,Value,Units
2006,1.47865,miliona dolara (2021)
2007,2.50668,miliona dolara (2021)
2008,2.10736,miliona dolara (2021)
2009,6.07342,miliona dolara (2021)
2010,7.46717,miliona dolara (2021)
2011,7.79048,miliona dolara (2021)
2012,10.59857,miliona dolara (2021)
2013,10.2983,miliona dolara (2021)
2014,7.97613,miliona dolara (2021)
2015,25.00785,miliona dolara (2021)
2016,4.36011,miliona dolara (2021)
2017,23.64829,miliona dolara (2021)
2018,11.03862,miliona dolara (2021)
2019,7.61836,miliona dolara (2021)
2020,7.67735,miliona dolara (2021)
2021,5.57126,miliona dolara (2021)
2022,10.5645,miliona dolara (2021)
