Year,Value,Units
2010,23.0,ukupno novoinficiranih
2011,24.0,ukupno novoinficiranih
2012,25.0,ukupno novoinficiranih
2013,26.0,ukupno novoinficiranih
2014,27.0,ukupno novoinficiranih
2015,27.0,ukupno novoinficiranih
2016,26.0,ukupno novoinficiranih
2017,25.0,ukupno novoinficiranih
2018,24.0,ukupno novoinficiranih
2019,22.0,ukupno novoinficiranih
2020,20.0,ukupno novoinficiranih
2021,18.0,ukupno novoinficiranih
2022,15.0,ukupno novoinficiranih
2010,0.04,ukupno novoinficiranih na 1000 neinficiranih
2011,0.04,ukupno novoinficiranih na 1000 neinficiranih
2012,0.04,ukupno novoinficiranih na 1000 neinficiranih
2013,0.04,ukupno novoinficiranih na 1000 neinficiranih
2014,0.04,ukupno novoinficiranih na 1000 neinficiranih
2015,0.04,ukupno novoinficiranih na 1000 neinficiranih
2016,0.04,ukupno novoinficiranih na 1000 neinficiranih
2017,0.04,ukupno novoinficiranih na 1000 neinficiranih
2018,0.04,ukupno novoinficiranih na 1000 neinficiranih
2019,0.03,ukupno novoinficiranih na 1000 neinficiranih
2020,0.03,ukupno novoinficiranih na 1000 neinficiranih
2021,0.03,ukupno novoinficiranih na 1000 neinficiranih
2022,0.02,ukupno novoinficiranih na 1000 neinficiranih
