Year,Value,Units
%,74.51,Stopa završetka nižeg srednjeg obrazovanja
%,94.2,Stopa završetka nižeg srednjeg obrazovanja
%,90.5,Stopa završetka nižeg srednjeg obrazovanja
%,93.98,Stopa završetka nižeg srednjeg obrazovanja
%,95.25,Stopa završetka nižeg srednjeg obrazovanja
%,94.52,Stopa završetka nižeg srednjeg obrazovanja
%,93.46,Stopa završetka nižeg srednjeg obrazovanja
%,96.33,Stopa završetka nižeg srednjeg obrazovanja
%,95.79,Stopa završetka nižeg srednjeg obrazovanja
%,94.92,Stopa završetka nižeg srednjeg obrazovanja
