Year,Units,Location,Value
2009,PM 10,Podgorica UT,32.94
2010,PM 10,Podgorica UT,28.25
2011,PM 10,Podgorica UT,37.61
2012,PM 10,Podgorica UT,35.83
2013,PM 10,Podgorica UT,33.97
2014,PM 10,Podgorica UT,34.22
2015,PM 10,Podgorica UT,41.91
2016,PM 10,Podgorica UT,38.69
2017,PM 10,Podgorica UT,37.01
2018,PM 10,Podgorica UT,40.3
2019,PM 10,Podgorica UT,42.0
2020,PM 10,Podgorica UT,42.0
2009,PM 10,Bar UB,39.8
2010,PM 10,Bar UB,33.5
2011,PM 10,Bar UB,31.91
2012,PM 10,Bar UB,25.95
2013,PM 10,Bar UB,32.92
2014,PM 10,Bar UB,27.83
2015,PM 10,Bar UB,35.41
2016,PM 10,Bar UB,28.79
2017,PM 10,Bar UB,30.03
2018,PM 10,Bar UB,27.86
2019,PM 10,Bar UB,23.0
2020,PM 10,Bar UB,17.0
2009,PM 10,Nikšić UB,71.58
2010,PM 10,Nikšić UB,58.29
2011,PM 10,Nikšić UB,55.19
2012,PM 10,Nikšić UB,62.84
2013,PM 10,Nikšić UB,45.72
2014,PM 10,Nikšić UB,43.28
2015,PM 10,Nikšić UB,54.05
2016,PM 10,Nikšić UB,52.5
2017,PM 10,Nikšić UB,44.56
2018,PM 10,Nikšić UB,41.25
2019,PM 10,Nikšić UB,47.0
2020,PM 10,Nikšić UB,37.0
2009,PM 10,Pljevlja UB,81.89
2010,PM 10,Pljevlja UB,66.83
2011,PM 10,Pljevlja UB,95.61
2012,PM 10,Pljevlja UB,91.42
2013,PM 10,Pljevlja UB,79.51
2014,PM 10,Pljevlja UB,77.33
2015,PM 10,Pljevlja UB,99.81
2016,PM 10,Pljevlja UB,89.43
2017,PM 10,Pljevlja UB,66.31
2018,PM 10,Pljevlja UB,58.77
2019,PM 10,Pljevlja UB,58.0
2020,PM 10,Pljevlja UB,58.0
2020,PM 10,Podgorica UB,37.0
2012,PM 2.5,Tivat UB,18.0
2013,PM 2.5,Tivat UB,16.0
2014,PM 2.5,Tivat UB,16.0
2015,PM 2.5,Tivat UB,19.0
2016,PM 2.5,Tivat UB,15.0
2017,PM 2.5,Tivat UB,14.63
2018,PM 2.5,Tivat UB,16.88
2012,PM 2.5,Bar UB,14.0
2013,PM 2.5,Bar UB,14.0
2014,PM 2.5,Bar UB,25.0
2015,PM 2.5,Bar UB,21.0
2016,PM 2.5,Bar UB,14.0
2017,PM 2.5,Bar UB,15.82
2018,PM 2.5,Bar UB,19.77
2019,PM 2.5,Bar UB,14.0
2020,PM 2.5,Bar UB,12.0
2012,PM 2.5,Nikšić UB,35.0
2013,PM 2.5,Nikšić UB,26.0
2014,PM 2.5,Nikšić UB,23.0
2015,PM 2.5,Nikšić UB,28.0
2016,PM 2.5,Nikšić UB,25.0
2017,PM 2.5,Nikšić UB,23.76
2018,PM 2.5,Nikšić UB,25.04
2019,PM 2.5,Nikšić UB,38.0
2020,PM 2.5,Nikšić UB,31.0
2012,PM 2.5,Pljevlja UB,45.0
2013,PM 2.5,Pljevlja UB,46.0
2014,PM 2.5,Pljevlja UB,42.0
2015,PM 2.5,Pljevlja UB,41.0
2016,PM 2.5,Pljevlja UB,45.0
2017,PM 2.5,Pljevlja UB,31.51
2018,PM 2.5,Pljevlja UB,42.22
2019,PM 2.5,Pljevlja UB,37.0
2020,PM 2.5,Pljevlja UB,43.0
2020,PM 2.5,Podgorica UB,28.0
