Year,Units,Administrative head,"Summary - Calculation Sheet for Dimensions PI-1.1, PI-2.1 and PI-2.3",Economic head,Summary - Calculation Sheet for Expenditure by Economic Classification Variance PI-2.2,Category,Value
2016,percent,1.0,,,,,22.7
2016,percent,2.0,,,,,8.6
2016,percent,3.0,,,,,25.2
2016,percent,4.0,,,,,55.4
2016,percent,5.0,,,,,32.0
2016,percent,6.0,,,,,44.2
2016,percent,7.0,,,,,38.4
2016,percent,8.0,,,,,6.1
2016,percent,9.0,,,,,12.0
2016,percent,10.0,,,,,11.6
2016,percent,,aggregate outturn (PI-1),,,,93.6
2016,percent,,composition (PI-2) variance,,,,27.3
2016,percent,,contingency share of budget,,,,1.1
2017,percent,1.0,,,,,0.034622634
2017,percent,2.0,,,,,0.006044675
2017,percent,3.0,,,,,0.102467575
2017,percent,4.0,,,,,0.03823655
2017,percent,5.0,,,,,0.069807354
2017,percent,6.0,,,,,0.177601948
2017,percent,7.0,,,,,0.019505611
2017,percent,8.0,,,,,0.068700957
2017,percent,9.0,,,,,0.017975611
2017,percent,10.0,,,,,0.050073087
2017,percent,,aggregate outturn (PI-1),,,,101.0
2017,percent,,composition (PI-2) variance,,,,4.3
2017,percent,,contingency share of budget,,,,1.1
2018,percent,1.0,,,,,0.020121701
2018,percent,2.0,,,,,0.382758592
2018,percent,3.0,,,,,0.026699902
2018,percent,4.0,,,,,0.068948772
2018,percent,5.0,,,,,0.288878127
2018,percent,6.0,,,,,0.059226146
2018,percent,7.0,,,,,0.130986788
2018,percent,8.0,,,,,0.064128782
2018,percent,9.0,,,,,0.02644262
2018,percent,10.0,,,,,0.055453584
2018,percent,,aggregate outturn (PI-1),,,,105.1
2018,percent,,composition (PI-2) variance,,,,7.0
2018,percent,,contingency share of budget,,,,1.3
2016,percent,,,Compensation of employees,,,8.7
2016,percent,,,Use of goods and services,,,3.6
2016,percent,,,Consumption of fixed capital,,,0.0
2016,percent,,,Interest,,,13.9
2016,percent,,,Subsidies,,,41.3
2016,percent,,,Grants,,,46.5
2016,percent,,,Social benefits,,,11.3
2016,percent,,,Other expenses,,,19.3
2016,percent,,,,composition variance,,13.8
2017,percent,,,Compensation of employees,,,0.7
2017,percent,,,Use of goods and services,,,10.2
2017,percent,,,Consumption of fixed capital,,,0.0
2017,percent,,,Interest,,,2.5
2017,percent,,,Subsidies,,,9.9
2017,percent,,,Grants,,,38.6
2017,percent,,,Social benefits,,,6.7
2017,percent,,,Other expenses,,,6.9
2017,percent,,,,composition variance,,5.9
2018,percent,,,Compensation of employees,,,0.3
2018,percent,,,Use of goods and services,,,3.9
2018,percent,,,Consumption of fixed capital,,,0.0
2018,percent,,,Interest,,,8.7
2018,percent,,,Subsidies,,,0.5
2018,percent,,,Grants,,,14.5
2018,percent,,,Social benefits,,,6.0
2018,percent,,,Other expenses,,,5.0
2018,percent,,,,composition variance,,4.3
2009,percent,,,,,Primary government expenditures as a proportion of original approved budget,89.2
2010,percent,,,,,Primary government expenditures as a proportion of original approved budget,99.2
2011,percent,,,,,Primary government expenditures as a proportion of original approved budget,104.8
2012,percent,,,,,Primary government expenditures as a proportion of original approved budget,104.5
2013,percent,,,,,Primary government expenditures as a proportion of original approved budget,112.1
2014,percent,,,,,Primary government expenditures as a proportion of original approved budget,108.9
2015,percent,,,,,Primary government expenditures as a proportion of original approved budget,103.4
2016,percent,,,,,Primary government expenditures as a proportion of original approved budget,93.6
2017,percent,,,,,Primary government expenditures as a proportion of original approved budget,101.0
2018,percent,,,,,Primary government expenditures as a proportion of original approved budget,105.1
2019,percent,,,,,Primary government expenditures as a proportion of original approved budget,131.6
2020,percent,,,,,Primary government expenditures as a proportion of original approved budget,110.7
2021,percent,,,,,Primary government expenditures as a proportion of original approved budget,119.1
