Year,Units,Value
2008,millions_constant_usd_2017,27.8
2009,millions_constant_usd_2017,22.7
2010,millions_constant_usd_2017,27.5
2011,millions_constant_usd_2017,36.7
2012,millions_constant_usd_2017,70.3
2013,millions_constant_usd_2017,20.5
2014,millions_constant_usd_2017,28.3
2015,millions_constant_usd_2017,34.9
2016,millions_constant_usd_2017,25.3
2017,millions_constant_usd_2017,48.4
2018,millions_constant_usd_2017,29.8
2019,millions_constant_usd_2017,35.8
2020,millions_constant_usd_2017,69.5
2021,millions_constant_usd_2017,54.1
