Year,Units,Age,Value
2010,per 1000 women,aged 15-19 and 10-14 years,16.8
2011,per 1000 women,aged 15-19 and 10-14 years,14.3
2012,per 1000 women,aged 15-19 and 10-14 years,13.2
2013,per 1000 women,aged 15-19 and 10-14 years,11.9
2014,per 1000 women,aged 15-19 and 10-14 years,11.1
2015,per 1000 women,aged 15-19 and 10-14 years,10.7
2016,per 1000 women,aged 15-19 and 10-14 years,9.7
2017,per 1000 women,aged 15-19 and 10-14 years,9.8
2018,per 1000 women,aged 15-19 and 10-14 years,9.5
2019,per 1000 women,aged 15-19 and 10-14 years,11.2
2020,per 1000 women,aged 15-19 and 10-14 years,9.3
