Year,Units,Category,Value
2006,millions_constant_usd_2021,4_b_1_cat_1,0.15489
2007,millions_constant_usd_2021,4_b_1_cat_1,0.15922
2008,millions_constant_usd_2021,4_b_1_cat_1,0.1672
2009,millions_constant_usd_2021,4_b_1_cat_1,0.57884
2010,millions_constant_usd_2021,4_b_1_cat_1,0.45409
2011,millions_constant_usd_2021,4_b_1_cat_1,0.45589
2012,millions_constant_usd_2021,4_b_1_cat_1,0.58993
2013,millions_constant_usd_2021,4_b_1_cat_1,0.71717
2014,millions_constant_usd_2021,4_b_1_cat_1,0.51372
2015,millions_constant_usd_2021,4_b_1_cat_1,0.73501
2016,millions_constant_usd_2021,4_b_1_cat_1,0.34813
2017,millions_constant_usd_2021,4_b_1_cat_1,0.89301
2018,millions_constant_usd_2021,4_b_1_cat_1,1.16206
2019,millions_constant_usd_2021,4_b_1_cat_1,2.56515
2020,millions_constant_usd_2021,4_b_1_cat_1,1.61259
2021,millions_constant_usd_2021,4_b_1_cat_1,2.03287
2022,millions_constant_usd_2021,4_b_1_cat_1,1.78209
