Year,Units,Category,Value
2016,total,"The number of teachers in pre-school, primary, general secondary education and general vocational education subjects who have attended at least the minimum organized teacher training (e.g. pedagogical training) before employment or in the workplace required to teach at the appropriate level in a given country",2521
2017,total,"The number of teachers in pre-school, primary, general secondary education and general vocational education subjects who have attended at least the minimum organized teacher training (e.g. pedagogical training) before employment or in the workplace required to teach at the appropriate level in a given country",2250
2018,total,"The number of teachers in pre-school, primary, general secondary education and general vocational education subjects who have attended at least the minimum organized teacher training (e.g. pedagogical training) before employment or in the workplace required to teach at the appropriate level in a given country",2394
2019,total,"The number of teachers in pre-school, primary, general secondary education and general vocational education subjects who have attended at least the minimum organized teacher training (e.g. pedagogical training) before employment or in the workplace required to teach at the appropriate level in a given country",2340
2020,total,"The number of teachers in pre-school, primary, general secondary education and general vocational education subjects who have attended at least the minimum organized teacher training (e.g. pedagogical training) before employment or in the workplace required to teach at the appropriate level in a given country",831
2021,total,"The number of teachers in pre-school, primary, general secondary education and general vocational education subjects who have attended at least the minimum organized teacher training (e.g. pedagogical training) before employment or in the workplace required to teach at the appropriate level in a given country",1144
2016,total,The number of teachers in secondary vocational education who have attended at least the minimum organized teacher training (e.g. pedagogic training) before employment or on the job required to teach at the appropriate level in a given country,386
2017,total,The number of teachers in secondary vocational education who have attended at least the minimum organized teacher training (e.g. pedagogic training) before employment or on the job required to teach at the appropriate level in a given country,404
2018,total,The number of teachers in secondary vocational education who have attended at least the minimum organized teacher training (e.g. pedagogic training) before employment or on the job required to teach at the appropriate level in a given country,547
2019,total,The number of teachers in secondary vocational education who have attended at least the minimum organized teacher training (e.g. pedagogic training) before employment or on the job required to teach at the appropriate level in a given country,227
2020,total,The number of teachers in secondary vocational education who have attended at least the minimum organized teacher training (e.g. pedagogic training) before employment or on the job required to teach at the appropriate level in a given country,892
2021,total,The number of teachers in secondary vocational education who have attended at least the minimum organized teacher training (e.g. pedagogic training) before employment or on the job required to teach at the appropriate level in a given country,1347
