Year,Units,Sex,Value
2010,percent,,19.7
2011,percent,,19.7
2012,percent,,19.7
2013,percent,,19.5
2014,percent,,18.0
2015,percent,,17.6
2016,percent,,17.7
2017,percent,,16.1
2018,percent,,15.2
2019,percent,,15.1
2020,percent,,17.9
2021,percent,,16.6
2022,percent,,14.7
2023,percent,,13.1
2010,percent,Male,18.9
2011,percent,Male,19.5
2012,percent,Male,19.3
2013,percent,Male,20.0
2014,percent,Male,17.8
2015,percent,Male,17.7
2016,percent,Male,18.2
2017,percent,Male,15.4
2018,percent,Male,15.2
2019,percent,Male,14.7
2020,percent,Male,17.5
2021,percent,Male,17.1
2022,percent,Male,16.2
2023,percent,Male,12.2
2010,percent,Female,20.7
2011,percent,Female,20.0
2012,percent,Female,20.3
2013,percent,Female,18.8
2014,percent,Female,18.2
2015,percent,Female,17.3
2016,percent,Female,17.1
2017,percent,Female,17.0
2018,percent,Female,15.1
2019,percent,Female,15.7
2020,percent,Female,18.4
2021,percent,Female,15.8
2022,percent,Female,12.8
2023,percent,Female,14.0
2024,percent,,11.4
2024,percent,Male,10.8
2024,percent,Female,12.2
