Year,Units,Category,Value
2010,percent of GDP,manufacturing value,4.2
2011,percent of GDP,manufacturing value,4.9
2012,percent of GDP,manufacturing value,4.5
2013,percent of GDP,manufacturing value,4.2
2014,percent of GDP,manufacturing value,3.9
2015,percent of GDP,manufacturing value,4.0
2016,percent of GDP,manufacturing value,3.8
2017,percent of GDP,manufacturing value,3.9
2018,percent of GDP,manufacturing value,4.0
2019,percent of GDP,manufacturing value,3.8
2020,percent of GDP,manufacturing value,4.0
2021,percent of GDP,manufacturing value,3.7
2022,percent of GDP,manufacturing value,3.8
2023,percent of GDP,manufacturing value,2.9
2024,percent of GDP,manufacturing value,3.3
2010,"per capita, in EUR",manufacturing value,206.0
2011,"per capita, in EUR",manufacturing value,254.0
2012,"per capita, in EUR",manufacturing value,228.0
2013,"per capita, in EUR",manufacturing value,222.0
2014,"per capita, in EUR",manufacturing value,214.0
2015,"per capita, in EUR",manufacturing value,229.0
2016,"per capita, in EUR",manufacturing value,230.0
2017,"per capita, in EUR",manufacturing value,260.0
2021,"per capita, in EUR",manufacturing value,291.0
2022,"per capita, in EUR",manufacturing value,358.0
2023,"per capita, in EUR",manufacturing value,328.0
2024,"per capita, in EUR",manufacturing value,408.0
