Year,Category,Units,Age,Location,Sex,Value
2012,Proportion of population below international poverty line,percent,aged 65 years,All area,Both 'sexes',0.55769
2012,Proportion of population below international poverty line,percent,all ages,All area,Female,3.06881
2012,Proportion of population below international poverty line,percent,all ages,All area,Male,3.00937
2012,Proportion of population below international poverty line,percent,aged 15-64 years,All area,Both 'sexes',2.65721
2012,Proportion of population below international poverty line,percent,all ages,Urban,Both 'sexes',1.65522
2012,Proportion of population below international poverty line,percent,less than 15 years,All area,Both 'sexes',6.09358
2012,Proportion of population below international poverty line,percent,all ages,Rural,Both 'sexes',5.54259
2012,Proportion of population below international poverty line,percent,All area,Both 'sexes',all ages,3.0
2013,Proportion of population below international poverty line,percent,All area,Both 'sexes',all ages,3.0
2014,Proportion of population below international poverty line,percent,all ages,All area,Both 'sexes',1.6
2015,Proportion of population below international poverty line,percent,all ages,All area,Both 'sexes',1.3
2015,Proportion of population below international poverty line,percent,aged 65 years,All area,Both 'sexes',0.31506
2015,Proportion of population below international poverty line,percent,all ages,All area,Female,1.34876
2015,Proportion of population below international poverty line,percent,all ages,All area,Male,1.39571
2015,Proportion of population below international poverty line,percent,all ages,Rural,Both 'sexes',2.03857
2015,Proportion of population below international poverty line,percent,less than 15 years,All area,Both 'sexes',2.50301
2015,Proportion of population below international poverty line,percent,aged 15-64 years,All area,Both 'sexes',1.29925
2015,Proportion of population below international poverty line,percent,all ages,Urban,Both 'sexes',1.00371
2016,Proportion of population below international poverty line,percent,less than 15 years,All area,Both 'sexes',5.43437
2016,Proportion of population below international poverty line,percent,aged 15-64 years,All area,Both 'sexes',2.75455
2016,Proportion of population below international poverty line,percent,aged 65 years,All area,Both 'sexes',0.76936
2016,Proportion of population below international poverty line,percent,all ages,All area,Female,2.73793
2016,Proportion of population below international poverty line,percent,all ages,All area,Male,3.09465
2016,Proportion of population below international poverty line,percent,all ages,Rural,Both 'sexes',4.82791
2016,Proportion of population below international poverty line,percent,all ages,Urban,Both 'sexes',1.87255
2016,Proportion of population below international poverty line,percent,all ages,All area,Both 'sexes',2.5
2017,Proportion of population below international poverty line,percent,all ages,All area,Both 'sexes',3.3
2017,Proportion of population below international poverty line,percent,all ages,All area,Male,3.83513
2017,Proportion of population below international poverty line,percent,all ages,Rural,Both 'sexes',5.92658
2017,Proportion of population below international poverty line,percent,all ages,Urban,Both 'sexes',2.91836
2017,Proportion of population below international poverty line,percent,less than 15 years,All area,Both 'sexes',6.32738
2017,Proportion of population below international poverty line,percent,aged 15-64 years,All area,Both 'sexes',3.90099
2017,Proportion of population below international poverty line,percent,aged 65 years,All area,Both 'sexes',0.9207
2017,Proportion of population below international poverty line,percent,all ages,All area,Female,4.14393
2018,Proportion of population below international poverty line,percent,less than 15 years,All area,Both 'sexes',4.73384
2018,Proportion of population below international poverty line,percent,all ages,All area,Male,2.91803
2018,Proportion of population below international poverty line,percent,all ages,All area,Female,2.87483
2018,Proportion of population below international poverty line,percent,aged 65 years,All area,Both 'sexes',0.67567
2018,Proportion of population below international poverty line,percent,aged 15-64 years,All area,Both 'sexes',2.86565
2018,Proportion of population below international poverty line,percent,all ages,Rural,Both 'sexes',4.9446
2018,Proportion of population below international poverty line,percent,all ages,Urban,Both 'sexes',1.76243
2018,Proportion of population below international poverty line,percent,all ages,All area,Both 'sexes',2.8
2019,Proportion of population below international poverty line,percent,All area,Both 'sexes',all ages,2.0
2019,Proportion of population below international poverty line,percent,aged 15-64 years,All area,Both 'sexes',1.86554
2019,Proportion of population below international poverty line,percent,less than 15 years,All area,Both 'sexes',3.56185
2019,Proportion of population below international poverty line,percent,aged 65 years,All area,Both 'sexes',0.6276
2019,Proportion of population below international poverty line,percent,all ages,Urban,Both 'sexes',1.15808
2019,Proportion of population below international poverty line,percent,all ages,Rural,Both 'sexes',3.53123
2019,Proportion of population below international poverty line,percent,all ages,All area,Male,2.02484
2019,Proportion of population below international poverty line,percent,all ages,All area,Female,1.97049
2020,Proportion of population below international poverty line,percent,all ages,All area,Male,1.84162
2020,Proportion of population below international poverty line,percent,aged 15-64 years,All area,Both 'sexes',1.72506
2020,Proportion of population below international poverty line,percent,all ages,All area,Female,1.98871
2020,Proportion of population below international poverty line,percent,aged 65 years,All area,Both 'sexes',0.22752
2020,Proportion of population below international poverty line,percent,less than 15 years,All area,Both 'sexes',4.14755
2020,Proportion of population below international poverty line,percent,all ages,Urban,Both 'sexes',0.9289
2020,Proportion of population below international poverty line,percent,all ages,Rural,Both 'sexes',3.69736
2020,Proportion of population below international poverty line,percent,all ages,All area,Both 'sexes',1.8
2021,Proportion of population below international poverty line,percent,All area,Both 'sexes',all ages,2.0
2021,Proportion of population below international poverty line,percent,all ages,Urban,Both 'sexes',1.68161
2021,Proportion of population below international poverty line,percent,all ages,All area,Female,1.95119
2021,Proportion of population below international poverty line,percent,all ages,All area,Male,2.2606
2021,Proportion of population below international poverty line,percent,all ages,Rural,Both 'sexes',2.85668
2021,Proportion of population below international poverty line,percent,aged 65 years,All area,Both 'sexes',0.42038
2021,Proportion of population below international poverty line,percent,aged 15-64 years,All area,Both 'sexes',1.67483
2021,Proportion of population below international poverty line,percent,less than 15 years,All area,Both 'sexes',5.25161
2005,Employed population below international poverty line,percent,aged 15-24 years,,Female,1.46
2005,Employed population below international poverty line,percent,more than 15 years,,Male,0.8
