Year,Units,Category,Value
2010,percent,AGR,92.02658
2010,percent,IND,89.34123
2010,percent,CLO,75.86207
2010,percent,TEX,94.28571
2010,percent,ALP,89.04261
2010,percent,ARM,100.0
2015,percent,ARM,80.0
2015,percent,ALP,88.58781
2015,percent,IND,89.37876
2015,percent,TEX,88.88889
2015,percent,CLO,83.07692
2015,percent,AGR,86.07595
2016,percent,CLO,79.71014
2016,percent,IND,90.97744
2016,percent,TEX,86.48649
2016,percent,ALP,90.0161
2016,percent,AGR,88.23529
2016,percent,ARM,80.0
2017,percent,ARM,50.0
2017,percent,AGR,87.91946
2017,percent,TEX,69.04762
2017,percent,ALP,86.87534
2017,percent,IND,87.45571
2017,percent,CLO,82.35294
2018,percent,CLO,82.35294
2018,percent,IND,87.79276
2018,percent,ALP,87.19076
2018,percent,AGR,88.21549
2018,percent,ARM,50.0
2018,percent,TEX,69.76744
2019,percent,ARM,83.33333
2019,percent,IND,84.8537
2019,percent,CLO,77.51938
2019,percent,TEX,79.10448
2019,percent,ALP,83.71991
2019,percent,AGR,81.17647
2020,percent,ALP,85.24955
2020,percent,IND,88.23174
2020,percent,CLO,73.21429
2020,percent,ARM,42.85714
2020,percent,AGR,77.74725
2020,percent,TEX,87.5
2021,percent,TEX,70.58824
2021,percent,AGR,80.6366
2021,percent,ARM,45.45455
2021,percent,ALP,82.08163
2021,percent,CLO,69.64286
2021,percent,IND,84.17306
2022,percent,CLO,81.93548
2022,percent,ALP,85.44237
2022,percent,AGR,82.03125
2022,percent,TEX,77.46479
2022,percent,IND,86.57053
2022,percent,ARM,75.0
