Year,Units,Value
2003,millions_usd,8.14
2004,millions_usd,20.13
2005,millions_usd,1.36
2006,millions_usd,141.86
2007,millions_usd,165.5
2008,millions_usd,571.1328
2009,millions_usd,383.6613
2010,millions_usd,185.08047
2011,millions_usd,14.88464
2012,millions_usd,322.31362
2013,millions_usd,292.21942
2014,millions_usd,220.30354
2015,millions_usd,434.49406
2016,millions_usd,302.68665
2017,millions_usd,429.63025
2018,millions_usd,273.09552
2019,millions_usd,218.89319
2020,millions_usd,295.23465
2021,millions_usd,1945.38645
2022,millions_usd,156.60435
