Year,Units,Value
1885,million tonnes,446.0
1890,million tonnes,1337.0
1891,million tonnes,1560.0
1892,million tonnes,1727.0
1893,million tonnes,3064.0
1894,million tonnes,5849.0
1895,million tonnes,5849.0
1896,million tonnes,6518.0
1897,million tonnes,5069.0
1898,million tonnes,7688.0
1899,million tonnes,8969.0
1900,million tonnes,12144.0
1901,million tonnes,13258.0
1902,million tonnes,12423.0
1903,million tonnes,13481.0
1904,million tonnes,14373.0
1905,million tonnes,15598.0
1906,million tonnes,18662.0
1907,million tonnes,18996.0
1908,million tonnes,20445.0
1909,million tonnes,21002.0
1910,million tonnes,20779.0
1911,million tonnes,22506.0
1912,million tonnes,23063.0
1913,million tonnes,63340.0
1919,million tonnes,45402.0
1920,million tonnes,60276.0
1921,million tonnes,64175.004
1922,million tonnes,93255.0
1923,million tonnes,101722.0
1924,million tonnes,104285.0
1925,million tonnes,114479.0
1926,million tonnes,111471.0
1927,million tonnes,125955.0
1928,million tonnes,143057.0
1929,million tonnes,156037.0
1930,million tonnes,146846.0
1931,million tonnes,135704.0
1932,million tonnes,123727.0
1933,million tonnes,114479.0
1934,million tonnes,119159.0
1935,million tonnes,124730.0
1936,million tonnes,123003.0
1937,million tonnes,137041.0
1938,million tonnes,129798.99
1939,million tonnes,136205.0
1940,million tonnes,156650.0
1943,million tonnes,5738.0
1944,million tonnes,1393.0
1945,million tonnes,79161.0
1946,million tonnes,156427.0
1947,million tonnes,217650.0
1948,million tonnes,245337.0
1949,million tonnes,280266.0
1950,million tonnes,269235.0
1951,million tonnes,254863.0
1952,million tonnes,255921.0
1953,million tonnes,254139.0
1954,million tonnes,303161.0
1955,million tonnes,347171.0
1956,million tonnes,396918.0
1957,million tonnes,431011.0
1958,million tonnes,424771.0
1959,million tonnes,486941.0
1960,million tonnes,531897.0
1961,million tonnes,557523.0
1962,million tonnes,572118.0
1963,million tonnes,636461.0
1964,million tonnes,721081.0
1965,million tonnes,741915.0
1966,million tonnes,735175.0
1967,million tonnes,742584.0
1968,million tonnes,794225.0
1969,million tonnes,823472.0
1970,million tonnes,1076106.0
1971,million tonnes,1159779.0
1972,million tonnes,1087025.0
1973,million tonnes,1298547.0
1974,million tonnes,1304229.0
1975,million tonnes,1360884.0
1976,million tonnes,1404615.0
1977,million tonnes,1365953.0
1978,million tonnes,1526447.0
1979,million tonnes,1660313.0
1980,million tonnes,1632626.0
1981,million tonnes,1776798.0
1982,million tonnes,1632348.0
1983,million tonnes,1757746.0
1984,million tonnes,1853675.0
1985,million tonnes,1890887.0
1986,million tonnes,1974783.0
1987,million tonnes,1927989.0
1988,million tonnes,1989434.0
1989,million tonnes,1983362.0
1990,million tonnes,1962026.0
1991,million tonnes,1388069.0
1992,million tonnes,1483274.0
1993,million tonnes,1293620.0
1994,million tonnes,1256653.0
1995,million tonnes,1327336.0
1996,million tonnes,1552994.0
1997,million tonnes,1669797.0
1998,million tonnes,1757580.0
1999,million tonnes,1211858.0
2000,million tonnes,1520843.0
2001,million tonnes,1667268.0
2002,million tonnes,1766249.0
2003,million tonnes,1889193.0
2004,million tonnes,2041277.9
2005,million tonnes,1750836.0
2006,million tonnes,2062832.1
2007,million tonnes,2055504.1
2008,million tonnes,2605104.0
2009,million tonnes,1681776.0
2010,million tonnes,2421904.0
2011,million tonnes,2407248.0
2012,million tonnes,2213056.0
2013,million tonnes,2150768.0
2014,million tonnes,2106800.0
2015,million tonnes,2238704.0
2016,million tonnes,2015199.9
2017,million tonnes,2103136.0
2018,million tonnes,2399920.0
2019,million tonnes,2476864.0
2020,million tonnes,2407248.0
2021,million tonnes,2304752.0
2022,million tonnes,2292498.0
