Year,Units,Sex,Value
2008,per_100000_population,,3.8
2009,per_100000_population,,3.3
2010,per_100000_population,,2.4
2011,per_100000_population,,3.3
2012,per_100000_population,,2.7
2013,per_100000_population,,1.6
2014,per_100000_population,,3.1
2015,per_100000_population,,2.7
2016,per_100000_population,,4.4
2017,per_100000_population,,2.4
2018,per_100000_population,,2.2
2019,per_100000_population,,3.6
2020,per_100000_population,,2.9
2021,per_100000_population,,2.4
2020,per_100000_population,Male,4.3
2020,per_100000_population,Female,0.6
