Year,Units,Sex,Age,Type of exploitation,Value
2012,count,,,,9.0
2017,count,,,,10.0
2018,count,,,,12.0
2020,count,,,,52.0
2025,per 100 000 population,,,,6.89
2025,per 100 000 population,Female,,,3.36
2025,per 100 000 population,Male,,,3.53
2025,per 100 000 population,,aged 0-17 years,,5.13
2025,per 100 000 population,,aged 18-35 years,,1.12
2025,per 100 000 population,,aged over 35 years,,0.64
2025,per 100 000 population,,,forced begging,4.49
2025,per 100 000 population,,,labour exploitation,1.6
2025,per 100 000 population,,,sexual exploitation,0.64
2025,per 100 000 population,,,forced/arranged marriage,0.16
