Year,Units,Population and household census,Register of births/deaths,Value
2011,yes/no,population and household census,,1.0
2010,percent,,Entry in the register of births,99.97
2011,percent,,Entry in the register of births,100.0
2012,percent,,Entry in the register of births,100.0
2013,percent,,Entry in the register of births,100.0
2014,percent,,Entry in the register of births,100.0
2015,percent,,Entry in the register of births,100.0
2016,percent,,Entry in the register of births,100.0
2017,percent,,Entry in the register of births,100.0
2018,percent,,Entry in the register of births,100.0
2019,percent,,Entry in the register of births,100.0
2020,percent,,Entry in the register of births,100.0
2021,percent,,Entry in the register of births,100.0
2010,percent,,Entry in the death register,100.0
2011,percent,,Entry in the death register,100.0
2012,percent,,Entry in the death register,100.0
2013,percent,,Entry in the death register,100.0
2014,percent,,Entry in the death register,100.0
2015,percent,,Entry in the death register,100.0
2016,percent,,Entry in the death register,100.0
2017,percent,,Entry in the death register,100.0
2018,percent,,Entry in the death register,100.0
2019,percent,,Entry in the death register,100.0
2020,percent,,Entry in the death register,100.0
2021,percent,,Entry in the death register,100.0
2023,yes/no,population and household census,,1.0
