Year,Units,Value
2006,millions_constant_usd_2021,1.47865
2007,millions_constant_usd_2021,2.50668
2008,millions_constant_usd_2021,2.10736
2009,millions_constant_usd_2021,6.07342
2010,millions_constant_usd_2021,7.46717
2011,millions_constant_usd_2021,7.79048
2012,millions_constant_usd_2021,10.59857
2013,millions_constant_usd_2021,10.2983
2014,millions_constant_usd_2021,7.97613
2015,millions_constant_usd_2021,25.00785
2016,millions_constant_usd_2021,4.36011
2017,millions_constant_usd_2021,23.64829
2018,millions_constant_usd_2021,11.03862
2019,millions_constant_usd_2021,7.61836
2020,millions_constant_usd_2021,7.67735
2021,millions_constant_usd_2021,5.57126
2022,millions_constant_usd_2021,10.5645
