Year,Units,Age,Category,Value
2013,percent,youth,Transferring files between computers or other devices,51.3
2013,percent,adult,Transferring files between computers or other devices,42.0
2014,percent,youth,Transferring files between computers or other devices,68.4
2014,percent,adult,Transferring files between computers or other devices,51.9
2015,percent,youth,Transferring files between computers or other devices,93.0
2015,percent,adult,Transferring files between computers or other devices,88.7
2016,percent,youth,Transferring files between computers or other devices,93.7
2016,percent,adult,Transferring files between computers or other devices,90.1
2017,percent,youth,Transferring files between computers or other devices,96.8
2017,percent,adult,Transferring files between computers or other devices,93.5
2018,percent,youth,Transferring files between computers or other devices,91.0
2018,percent,adult,Transferring files between computers or other devices,93.1
2019,percent,youth,Transferring files between computers or other devices,97.4
2019,percent,adult,Transferring files between computers or other devices,92.9
2020,percent,youth,Transferring files between computers or other devices,96.5
2020,percent,adult,Transferring files between computers or other devices,90.8
2015,percent,youth,Installing software or applications (apps),39.3
2015,percent,adult,Installing software or applications (apps),31.9
2016,percent,youth,Installing software or applications (apps),54.7
2016,percent,adult,Installing software or applications (apps),39.4
2017,percent,youth,Installing software or applications (apps),65.5
2017,percent,adult,Installing software or applications (apps),51.3
2018,percent,youth,Installing software or applications (apps),70.9
2018,percent,adult,Installing software or applications (apps),53.5
2019,percent,youth,Installing software or applications (apps),74.3
2019,percent,adult,Installing software or applications (apps),55.5
2020,percent,youth,Installing software or applications (apps),73.8
2020,percent,adult,Installing software or applications (apps),58.5
2021,percent,youth,Installing software or applications (apps),63.7
2021,percent,adult,Installing software or applications (apps),59.7
2022,percent,youth,Installing software or applications (apps),61.5
2022,percent,adult,Installing software or applications (apps),56.9
2023,percent,youth,Installing software or applications (apps),61.7
2023,percent,adult,Installing software or applications (apps),57.6
2015,percent,youth,"Changing the settings of any software, including operational system or security programs",7.9
2015,percent,adult,"Changing the settings of any software, including operational system or security programs",7.2
2016,percent,youth,"Changing the settings of any software, including operational system or security programs",26.1
2016,percent,adult,"Changing the settings of any software, including operational system or security programs",17.1
2017,percent,youth,"Changing the settings of any software, including operational system or security programs",35.6
2017,percent,adult,"Changing the settings of any software, including operational system or security programs",28.0
2018,percent,youth,"Changing the settings of any software, including operational system or security programs",34.6
2018,percent,adult,"Changing the settings of any software, including operational system or security programs",27.6
2019,percent,youth,"Changing the settings of any software, including operational system or security programs",39.3
2019,percent,adult,"Changing the settings of any software, including operational system or security programs",27.9
2020,percent,youth,"Changing the settings of any software, including operational system or security programs",40.9
2020,percent,adult,"Changing the settings of any software, including operational system or security programs",26.2
2021,percent,youth,"Changing the settings of any software, including operational system or security programs",31.3
2021,percent,adult,"Changing the settings of any software, including operational system or security programs",27.2
2022,percent,youth,"Changing the settings of any software, including operational system or security programs",36.0
2022,percent,adult,"Changing the settings of any software, including operational system or security programs",29.5
2023,percent,youth,"Changing the settings of any software, including operational system or security programs",36.6
2023,percent,adult,"Changing the settings of any software, including operational system or security programs",29.4
2013,percent,youth,Copying or moving files or folders,83.4
2013,percent,adult,Copying or moving files or folders,72.0
2014,percent,youth,Copying or moving files or folders,92.4
2014,percent,adult,Copying or moving files or folders,78.7
2015,percent,youth,Copying or moving files or folders,94.9
2015,percent,adult,Copying or moving files or folders,94.2
2016,percent,youth,Copying or moving files or folders,97.3
2016,percent,adult,Copying or moving files or folders,94.4
2017,percent,youth,Copying or moving files or folders,95.3
2017,percent,adult,Copying or moving files or folders,95.2
2018,percent,youth,Copying or moving files or folders,98.5
2018,percent,adult,Copying or moving files or folders,95.9
2019,percent,youth,Copying or moving files or folders,100.0
2019,percent,adult,Copying or moving files or folders,95.9
2020,percent,youth,Copying or moving files or folders,98.4
2020,percent,adult,Copying or moving files or folders,94.8
2015,percent,youth,Using word processing software,75.9
2015,percent,adult,Using word processing software,64.6
2016,percent,youth,Using word processing software,77.8
2016,percent,adult,Using word processing software,66.9
2017,percent,youth,Using word processing software,73.4
2017,percent,adult,Using word processing software,65.2
2018,percent,youth,Using word processing software,85.4
2018,percent,adult,Using word processing software,67.4
2019,percent,youth,Using word processing software,79.3
2019,percent,adult,Using word processing software,68.2
2020,percent,youth,Using word processing software,85.6
2020,percent,adult,Using word processing software,70.2
2021,percent,youth,Using word processing software,76.4
2021,percent,adult,Using word processing software,70.1
2022,percent,youth,Using word processing software,78.4
2022,percent,adult,Using word processing software,70.6
2023,percent,youth,Using word processing software,84.7
2023,percent,adult,Using word processing software,70.1
2013,percent,youth,"Creating presentations or documents integrating text, pictures, tables or charts",27.8
2013,percent,adult,"Creating presentations or documents integrating text, pictures, tables or charts",15.7
2014,percent,youth,"Creating presentations or documents integrating text, pictures, tables or charts",29.5
2014,percent,adult,"Creating presentations or documents integrating text, pictures, tables or charts",18.9
2015,percent,youth,"Creating presentations or documents integrating text, pictures, tables or charts",36.3
2015,percent,adult,"Creating presentations or documents integrating text, pictures, tables or charts",21.2
2016,percent,youth,"Creating presentations or documents integrating text, pictures, tables or charts",43.4
2016,percent,adult,"Creating presentations or documents integrating text, pictures, tables or charts",29.8
2017,percent,youth,"Creating presentations or documents integrating text, pictures, tables or charts",53.0
2017,percent,adult,"Creating presentations or documents integrating text, pictures, tables or charts",38.1
2018,percent,youth,"Creating presentations or documents integrating text, pictures, tables or charts",57.3
2018,percent,adult,"Creating presentations or documents integrating text, pictures, tables or charts",40.8
2019,percent,youth,"Creating presentations or documents integrating text, pictures, tables or charts",56.5
2019,percent,adult,"Creating presentations or documents integrating text, pictures, tables or charts",43.5
2020,percent,youth,"Creating presentations or documents integrating text, pictures, tables or charts",64.0
2020,percent,adult,"Creating presentations or documents integrating text, pictures, tables or charts",40.4
2021,percent,youth,"Creating presentations or documents integrating text, pictures, tables or charts",
2021,percent,adult,"Creating presentations or documents integrating text, pictures, tables or charts",42.0
2022,percent,youth,"Creating presentations or documents integrating text, pictures, tables or charts",67.6
2022,percent,adult,"Creating presentations or documents integrating text, pictures, tables or charts",43.8
