Year,Units,Location,Age,Category,Value
2018,total,,primary school,4_5_1_cat_1,1.01
2018,total,,primary school,4_5_1_cat_2,0.95
2018,total,,primary school,4_5_1_cat_3,1.01
2018,total,,lower secondary school,4_5_1_cat_1,1.05
2018,total,,lower secondary school,4_5_1_cat_2,0.8
2018,total,,lower secondary school,4_5_1_cat_3,1.0
2018,total,,upper secondary education,4_5_1_cat_1,1.06
2018,total,,upper secondary education,4_5_1_cat_2,0.66
2018,total,,upper secondary education,4_5_1_cat_3,1.02
2018,total,Roma settlements,primary school,4_5_1_cat_1,1.06
2018,total,Roma settlements,primary school,4_5_1_cat_2,0.58
2018,total,Roma settlements,primary school,4_5_1_cat_3,0.99
2018,total,Roma settlements,lower secondary school,4_5_1_cat_1,1.16
2018,total,Roma settlements,lower secondary school,4_5_1_cat_2,0.32
2018,total,Roma settlements,lower secondary school,4_5_1_cat_3,0.91
2018,total,Roma settlements,upper secondary education,4_5_1_cat_1,0.86
2018,total,Roma settlements,upper secondary education,4_5_1_cat_2,0.09
2018,total,Roma settlements,upper secondary education,4_5_1_cat_3,0.58
2015,ratio,,,,0.92339
2016,ratio,,,,0.92623
2017,ratio,,,,1.00539
2018,ratio,,,,0.95442
2019,ratio,,,,0.98153
2020,ratio,,,,0.98398
2021,ratio,,,,0.99742
2022,ratio,,,,1.05357
