Year,Units,Location,Value
2008,percent,,99.0
2009,percent,,99.1
2010,percent,,99.2
2011,percent,,99.0
2012,percent,,99.3
2013,percent,,99.7
2014,percent,,97.7
2015,percent,,99.5
2016,percent,,99.6
2017,percent,,100.0
2018,percent,,100.0
2019,percent,,100.0
2020,percent,,99.9
2021,percent,,99.8
2018,percent,Roma settlements,96.4
2000,percent,Rural,98.2
2000,percent,All area,99.1
2000,percent,Urban,99.7
2001,percent,Urban,99.7
2001,percent,All area,99.1
2001,percent,Rural,98.2
2002,percent,All area,99.0
2002,percent,Urban,99.6
2002,percent,Rural,98.2
2003,percent,Urban,99.5
2003,percent,All area,99.0
2003,percent,Rural,98.1
2004,percent,Rural,98.1
2004,percent,All area,99.0
2004,percent,Urban,99.5
2005,percent,Urban,100.0
2005,percent,All area,99.8
2005,percent,Rural,99.5
2006,percent,Rural,98.1
2006,percent,All area,99.0
2006,percent,Urban,99.5
2007,percent,Urban,99.5
2007,percent,Rural,98.1
2007,percent,All area,99.0
2008,percent,All area,99.0
2008,percent,Rural,98.1
2008,percent,Urban,99.6
2009,percent,Urban,99.6
2009,percent,All area,99.1
2009,percent,Rural,98.1
2010,percent,All area,99.2
2010,percent,Urban,99.7
2010,percent,Rural,98.2
2011,percent,Rural,97.6
2011,percent,Urban,99.8
2011,percent,All area,99.0
2012,percent,All area,99.3
2012,percent,Urban,99.8
2012,percent,Rural,98.3
2013,percent,Rural,99.9
2013,percent,Urban,99.6
2013,percent,All area,99.7
2014,percent,All area,97.7
2014,percent,Urban,99.6
2014,percent,Rural,94.1
2015,percent,All area,99.5
2015,percent,Rural,98.6
2015,percent,Urban,99.9
2016,percent,All area,99.6
2016,percent,Urban,99.9
2016,percent,Rural,98.9
2017,percent,Rural,100.0
2017,percent,Urban,99.9
2017,percent,All area,100.0
2018,percent,All area,100.0
2018,percent,Urban,100.0
2018,percent,Rural,100.0
2019,percent,Rural,99.9
2019,percent,Urban,100.0
2019,percent,All area,100.0
2020,percent,All area,99.9
2020,percent,Rural,99.5
2020,percent,Urban,100.0
2021,percent,Urban,100.0
2021,percent,Rural,99.4
2021,percent,All area,99.8
2022,percent,Urban,100.0
2022,percent,Rural,100.0
2022,percent,All area,100.0
2023,percent,Urban,100.0
2023,percent,Rural,100.0
2023,percent,All area,100.0
2024,percent,Urban,100.0
2024,percent,Rural,100.0
2024,percent,All area,100.0
