Year,Value,Units
2003,8.14,millions_usd
2004,20.13,millions_usd
2005,1.36,millions_usd
2006,141.86,millions_usd
2007,165.5,millions_usd
2008,571.1328,millions_usd
2009,383.6613,millions_usd
2010,185.08047,millions_usd
2011,14.88464,millions_usd
2012,322.31362,millions_usd
2013,292.21942,millions_usd
2014,220.30354,millions_usd
2015,434.49406,millions_usd
2016,302.68665,millions_usd
2017,429.63025,millions_usd
2018,273.09552,millions_usd
2019,218.89319,millions_usd
2020,295.23465,millions_usd
2021,1945.38645,millions_usd
2022,156.60435,millions_usd
