Year,Value,Units
2008,27.8,millions_constant_usd_2017
2009,22.7,millions_constant_usd_2017
2010,27.5,millions_constant_usd_2017
2011,36.7,millions_constant_usd_2017
2012,70.3,millions_constant_usd_2017
2013,20.5,millions_constant_usd_2017
2014,28.3,millions_constant_usd_2017
2015,34.9,millions_constant_usd_2017
2016,25.3,millions_constant_usd_2017
2017,48.4,millions_constant_usd_2017
2018,29.8,millions_constant_usd_2017
2019,35.8,millions_constant_usd_2017
2020,69.5,millions_constant_usd_2017
2021,54.1,millions_constant_usd_2017
