Year,Category,Units,Age,Location,Sex,Value
2012,1_1_1_cat_1,%,aged 65 years,allarea,Bothsex,0.55769
2012,1_1_1_cat_1,%,allages,allarea,Female,3.06881
2012,1_1_1_cat_1,%,allages,allarea,Male,3.00937
2012,1_1_1_cat_1,%,aged 15-64 years,allarea,Bothsex,2.65721
2012,1_1_1_cat_1,%,allages,urban,Bothsex,1.65522
2012,1_1_1_cat_1,%,aged 0-15 years,allarea,Bothsex,6.09358
2012,1_1_1_cat_1,%,allages,rural,Bothsex,5.54259
2012,1_1_1_cat_1,%,allarea,Bothsex,allages,3.0
2013,1_1_1_cat_1,%,allarea,Bothsex,allages,3.0
2014,1_1_1_cat_1,%,allages,allarea,Bothsex,1.6
2015,1_1_1_cat_1,%,allages,allarea,Bothsex,1.3
2015,1_1_1_cat_1,%,aged 65 years,allarea,Bothsex,0.31506
2015,1_1_1_cat_1,%,allages,allarea,Female,1.34876
2015,1_1_1_cat_1,%,allages,allarea,Male,1.39571
2015,1_1_1_cat_1,%,allages,rural,Bothsex,2.03857
2015,1_1_1_cat_1,%,aged 0-15 years,allarea,Bothsex,2.50301
2015,1_1_1_cat_1,%,aged 15-64 years,allarea,Bothsex,1.29925
2015,1_1_1_cat_1,%,allages,urban,Bothsex,1.00371
2016,1_1_1_cat_1,%,aged 0-15 years,allarea,Bothsex,5.43437
2016,1_1_1_cat_1,%,aged 15-64 years,allarea,Bothsex,2.75455
2016,1_1_1_cat_1,%,aged 65 years,allarea,Bothsex,0.76936
2016,1_1_1_cat_1,%,allages,allarea,Female,2.73793
2016,1_1_1_cat_1,%,allages,allarea,Male,3.09465
2016,1_1_1_cat_1,%,allages,rural,Bothsex,4.82791
2016,1_1_1_cat_1,%,allages,urban,Bothsex,1.87255
2016,1_1_1_cat_1,%,allages,allarea,Bothsex,2.5
2017,1_1_1_cat_1,%,allages,allarea,Bothsex,3.3
2017,1_1_1_cat_1,%,allages,allarea,Male,3.83513
2017,1_1_1_cat_1,%,allages,rural,Bothsex,5.92658
2017,1_1_1_cat_1,%,allages,urban,Bothsex,2.91836
2017,1_1_1_cat_1,%,aged 0-15 years,allarea,Bothsex,6.32738
2017,1_1_1_cat_1,%,aged 15-64 years,allarea,Bothsex,3.90099
2017,1_1_1_cat_1,%,aged 65 years,allarea,Bothsex,0.9207
2017,1_1_1_cat_1,%,allages,allarea,Female,4.14393
2018,1_1_1_cat_1,%,aged 0-15 years,allarea,Bothsex,4.73384
2018,1_1_1_cat_1,%,allages,allarea,Male,2.91803
2018,1_1_1_cat_1,%,allages,allarea,Female,2.87483
2018,1_1_1_cat_1,%,aged 65 years,allarea,Bothsex,0.67567
2018,1_1_1_cat_1,%,aged 15-64 years,allarea,Bothsex,2.86565
2018,1_1_1_cat_1,%,allages,rural,Bothsex,4.9446
2018,1_1_1_cat_1,%,allages,urban,Bothsex,1.76243
2018,1_1_1_cat_1,%,allages,allarea,Bothsex,2.8
2019,1_1_1_cat_1,%,allarea,Bothsex,allages,2.0
2019,1_1_1_cat_1,%,aged 15-64 years,allarea,Bothsex,1.86554
2019,1_1_1_cat_1,%,aged 0-15 years,allarea,Bothsex,3.56185
2019,1_1_1_cat_1,%,aged 65 years,allarea,Bothsex,0.6276
2019,1_1_1_cat_1,%,allages,urban,Bothsex,1.15808
2019,1_1_1_cat_1,%,allages,rural,Bothsex,3.53123
2019,1_1_1_cat_1,%,allages,allarea,Male,2.02484
2019,1_1_1_cat_1,%,allages,allarea,Female,1.97049
2020,1_1_1_cat_1,%,allages,allarea,Male,1.84162
2020,1_1_1_cat_1,%,aged 15-64 years,allarea,Bothsex,1.72506
2020,1_1_1_cat_1,%,allages,allarea,Female,1.98871
2020,1_1_1_cat_1,%,aged 65 years,allarea,Bothsex,0.22752
2020,1_1_1_cat_1,%,aged 0-15 years,allarea,Bothsex,4.14755
2020,1_1_1_cat_1,%,allages,urban,Bothsex,0.9289
2020,1_1_1_cat_1,%,allages,rural,Bothsex,3.69736
2020,1_1_1_cat_1,%,allages,allarea,Bothsex,1.8
2021,1_1_1_cat_1,%,allarea,Bothsex,allages,2.0
2021,1_1_1_cat_1,%,allages,urban,Bothsex,1.68161
2021,1_1_1_cat_1,%,allages,allarea,Female,1.95119
2021,1_1_1_cat_1,%,allages,allarea,Male,2.2606
2021,1_1_1_cat_1,%,allages,rural,Bothsex,2.85668
2021,1_1_1_cat_1,%,aged 65 years,allarea,Bothsex,0.42038
2021,1_1_1_cat_1,%,aged 15-64 years,allarea,Bothsex,1.67483
2021,1_1_1_cat_1,%,aged 0-15 years,allarea,Bothsex,5.25161
2005,1_1_1_cat_2,%,aged 15-24 years,,Female,1.46
2005,1_1_1_cat_2,%,aged more 15 years,,Male,0.8
2005,1_1_1_cat_2,%,aged more 25 years,,Female,1.06
2005,1_1_1_cat_2,%,aged 15-24 years,,Male,1.2
2005,1_1_1_cat_2,%,aged more 15 years,,Female,1.07
