Year,Units,Category,Value
2010,%,AGR,92.02658
2010,%,IND,89.34123
2010,%,CLO,75.86207
2010,%,TEX,94.28571
2010,%,ALP,89.04261
2010,%,ARM,100.0
2015,%,ARM,80.0
2015,%,ALP,88.58781
2015,%,IND,89.37876
2015,%,TEX,88.88889
2015,%,CLO,83.07692
2015,%,AGR,86.07595
2016,%,CLO,79.71014
2016,%,IND,90.97744
2016,%,TEX,86.48649
2016,%,ALP,90.0161
2016,%,AGR,88.23529
2016,%,ARM,80.0
2017,%,ARM,50.0
2017,%,AGR,87.91946
2017,%,TEX,69.04762
2017,%,ALP,86.87534
2017,%,IND,87.45571
2017,%,CLO,82.35294
2018,%,CLO,82.35294
2018,%,IND,87.79276
2018,%,ALP,87.19076
2018,%,AGR,88.21549
2018,%,ARM,50.0
2018,%,TEX,69.76744
2019,%,ARM,83.33333
2019,%,IND,84.8537
2019,%,CLO,77.51938
2019,%,TEX,79.10448
2019,%,ALP,83.71991
2019,%,AGR,81.17647
2020,%,ALP,85.24955
2020,%,IND,88.23174
2020,%,CLO,73.21429
2020,%,ARM,42.85714
2020,%,AGR,77.74725
2020,%,TEX,87.5
2021,%,TEX,70.58824
2021,%,AGR,80.6366
2021,%,ARM,45.45455
2021,%,ALP,82.08163
2021,%,CLO,69.64286
2021,%,IND,84.17306
2022,%,CLO,81.93548
2022,%,ALP,85.44237
2022,%,AGR,82.03125
2022,%,TEX,77.46479
2022,%,IND,86.57053
2022,%,ARM,75.0
