Year,Units,Convention,Category,Value
2015,points,basel_convention,basel_convention_1,1.0
2016,points,basel_convention,basel_convention_1,1.0
2017,points,basel_convention,basel_convention_1,1.0
2018,points,basel_convention,basel_convention_1,1.0
2019,points,basel_convention,basel_convention_1,1.0
2015,points,basel_convention,basel_convention_2,1.0
2016,points,basel_convention,basel_convention_2,1.0
2017,points,basel_convention,basel_convention_2,1.0
2018,points,basel_convention,basel_convention_2,1.0
2019,points,basel_convention,basel_convention_2,1.0
2015,points,rotterdam_convention,rotterdam_convention_1,1.0
2016,points,rotterdam_convention,rotterdam_convention_1,1.0
2017,points,rotterdam_convention,rotterdam_convention_1,1.0
2018,points,rotterdam_convention,rotterdam_convention_1,1.0
2019,points,rotterdam_convention,rotterdam_convention_1,1.0
2015,points,rotterdam_convention,rotterdam_convention_2,0.2
2016,points,rotterdam_convention,rotterdam_convention_2,0.2
2017,points,rotterdam_convention,rotterdam_convention_2,0.2
2018,points,rotterdam_convention,rotterdam_convention_2,0.2
2019,points,rotterdam_convention,rotterdam_convention_2,0.2
2015,points,stockholm_convention,stockholm_convention_1,1.0
2016,points,stockholm_convention,stockholm_convention_1,1.0
2017,points,stockholm_convention,stockholm_convention_1,1.0
2018,points,stockholm_convention,stockholm_convention_1,1.0
2019,points,stockholm_convention,stockholm_convention_1,1.0
2015,points,stockholm_convention,stockholm_convention_2,1.0
2016,points,stockholm_convention,stockholm_convention_2,1.0
2017,points,stockholm_convention,stockholm_convention_2,1.0
2018,points,stockholm_convention,stockholm_convention_2,1.0
2019,points,stockholm_convention,stockholm_convention_2,1.0
2015,points,stockholm_convention,stockholm_convention_3,0.0
2016,points,stockholm_convention,stockholm_convention_3,0.0
2017,points,stockholm_convention,stockholm_convention_3,0.0
2018,points,stockholm_convention,stockholm_convention_3,0.0
2019,points,stockholm_convention,stockholm_convention_3,1.0
2015,points,montreal_convention,montreal_convention_1,15.0
2016,points,montreal_convention,montreal_convention_1,15.0
2017,points,montreal_convention,montreal_convention_1,15.0
2018,points,montreal_convention,montreal_convention_1,15.0
2019,points,montreal_convention,montreal_convention_1,15.0
2015,points,montreal_convention,montreal_convention_2,5.0
2016,points,montreal_convention,montreal_convention_2,5.0
2017,points,montreal_convention,montreal_convention_2,5.0
2018,points,montreal_convention,montreal_convention_2,5.0
2019,points,montreal_convention,montreal_convention_2,5.0
2015,points,minamata_convention,minamata_convention_1,5.0
2016,points,minamata_convention,minamata_convention_1,5.0
2017,points,minamata_convention,minamata_convention_1,5.0
2018,points,minamata_convention,minamata_convention_1,5.0
2019,points,minamata_convention,minamata_convention_1,5.0
2015,points,minamata_convention,minamata_convention_2,0.0
2016,points,minamata_convention,minamata_convention_2,0.0
2017,points,minamata_convention,minamata_convention_2,0.0
2018,points,minamata_convention,minamata_convention_2,0.0
2019,points,minamata_convention,minamata_convention_2,0.0
