Year,Units,Administrative head,Summary sheet 1,Economic head,Summary sheet 2,Category,Value
2016,%,1.0,,,,,22.7
2016,%,2.0,,,,,8.6
2016,%,3.0,,,,,25.2
2016,%,4.0,,,,,55.4
2016,%,5.0,,,,,32.0
2016,%,6.0,,,,,44.2
2016,%,7.0,,,,,38.4
2016,%,8.0,,,,,6.1
2016,%,9.0,,,,,12.0
2016,%,10.0,,,,,11.6
2016,%,,pi_1,,,,93.6
2016,%,,pi_2,,,,27.3
2016,%,,share_of_budget,,,,1.1
2017,%,1.0,,,,,0.034622634
2017,%,2.0,,,,,0.006044675
2017,%,3.0,,,,,0.102467575
2017,%,4.0,,,,,0.03823655
2017,%,5.0,,,,,0.069807354
2017,%,6.0,,,,,0.177601948
2017,%,7.0,,,,,0.019505611
2017,%,8.0,,,,,0.068700957
2017,%,9.0,,,,,0.017975611
2017,%,10.0,,,,,0.050073087
2017,%,,pi_1,,,,101.0
2017,%,,pi_2,,,,4.3
2017,%,,share_of_budget,,,,1.1
2018,%,1.0,,,,,0.020121701
2018,%,2.0,,,,,0.382758592
2018,%,3.0,,,,,0.026699902
2018,%,4.0,,,,,0.068948772
2018,%,5.0,,,,,0.288878127
2018,%,6.0,,,,,0.059226146
2018,%,7.0,,,,,0.130986788
2018,%,8.0,,,,,0.064128782
2018,%,9.0,,,,,0.02644262
2018,%,10.0,,,,,0.055453584
2018,%,,pi_1,,,,105.1
2018,%,,pi_2,,,,7.0
2018,%,,share_of_budget,,,,1.3
2016,%,,,compensation_employees,,,8.7
2016,%,,,goods_services,,,3.6
2016,%,,,fixed_capital,,,0.0
2016,%,,,interest,,,13.9
2016,%,,,subsidies,,,41.3
2016,%,,,grants,,,46.5
2016,%,,,social_benefits,,,11.3
2016,%,,,other_expenses,,,19.3
2016,%,,,,composition_variance,,13.8
2017,%,,,compensation_employees,,,0.7
2017,%,,,goods_services,,,10.2
2017,%,,,fixed_capital,,,0.0
2017,%,,,interest,,,2.5
2017,%,,,subsidies,,,9.9
2017,%,,,grants,,,38.6
2017,%,,,social_benefits,,,6.7
2017,%,,,other_expenses,,,6.9
2017,%,,,,composition_variance,,5.9
2018,%,,,compensation_employees,,,0.3
2018,%,,,goods_services,,,3.9
2018,%,,,fixed_capital,,,0.0
2018,%,,,interest,,,8.7
2018,%,,,subsidies,,,0.5
2018,%,,,grants,,,14.5
2018,%,,,social_benefits,,,6.0
2018,%,,,other_expenses,,,5.0
2018,%,,,,composition_variance,,4.3
2009,%,,,,,16_6_1_cat_1,89.2
2010,%,,,,,16_6_1_cat_1,99.2
2011,%,,,,,16_6_1_cat_1,104.8
2012,%,,,,,16_6_1_cat_1,104.5
2013,%,,,,,16_6_1_cat_1,112.1
2014,%,,,,,16_6_1_cat_1,108.9
2015,%,,,,,16_6_1_cat_1,103.4
2016,%,,,,,16_6_1_cat_1,93.6
2017,%,,,,,16_6_1_cat_1,101.0
2018,%,,,,,16_6_1_cat_1,105.1
2019,%,,,,,16_6_1_cat_1,131.6
2020,%,,,,,16_6_1_cat_1,110.7
2021,%,,,,,16_6_1_cat_1,119.1
