Year,Units,Value
2002,million_usd,71.89008
2003,million_usd,49.43149
2004,million_usd,65.37657
2005,million_usd,500.61185
2006,million_usd,622.00163
2007,million_usd,934.44223
2008,million_usd,960.42333
2009,million_usd,1527.25942
2010,million_usd,760.44077
2011,million_usd,558.0527
2012,million_usd,619.75295
2013,million_usd,447.4746
2014,million_usd,497.6552
2015,million_usd,699.36536
2016,million_usd,226.40964
2017,million_usd,558.56576
2018,million_usd,489.81482
2019,million_usd,416.44721
2020,million_usd,532.28453
2021,million_usd,698.91957
2022,million_usd,876.73479
2023,million_usd,526.2454
