Year,Units,Category,Value
2006,%,3_b_1_cat_1,90.0
2007,%,3_b_1_cat_1,92.0
2008,%,3_b_1_cat_1,95.0
2009,%,3_b_1_cat_1,92.0
2010,%,3_b_1_cat_1,94.0
2011,%,3_b_1_cat_1,95.0
2012,%,3_b_1_cat_1,94.0
2013,%,3_b_1_cat_1,94.0
2014,%,3_b_1_cat_1,91.0
2015,%,3_b_1_cat_1,89.0
2016,%,3_b_1_cat_1,89.0
2017,%,3_b_1_cat_1,87.0
2018,%,3_b_1_cat_1,86.0
2019,%,3_b_1_cat_1,85.0
2020,%,3_b_1_cat_1,84.0
2021,%,3_b_1_cat_1,83.0
2022,%,3_b_1_cat_1,80.0
2023,%,3_b_1_cat_1,81.23
2024,%,3_b_1_cat_1,81.0
2007,%,3_b_1_cat_2,95.0
2008,%,3_b_1_cat_2,96.0
2009,%,3_b_1_cat_2,96.0
2010,%,3_b_1_cat_2,97.0
2011,%,3_b_1_cat_2,97.0
2012,%,3_b_1_cat_2,97.0
2013,%,3_b_1_cat_2,94.0
2014,%,3_b_1_cat_2,95.0
2015,%,3_b_1_cat_2,94.0
2016,%,3_b_1_cat_2,86.0
2017,%,3_b_1_cat_2,83.0
2018,%,3_b_1_cat_2,86.0
2019,%,3_b_1_cat_2,81.0
2020,%,3_b_1_cat_2,76.0
2021,%,3_b_1_cat_2,79.0
2022,%,3_b_1_cat_2,70.0
2023,%,3_b_1_cat_2,68.62
2024,%,3_b_1_cat_2,68.4
