Year,Units,Age,Category,Value
2013,%,youth,transfer_files,51.3
2013,%,adult,transfer_files,42.0
2014,%,youth,transfer_files,68.4
2014,%,adult,transfer_files,51.9
2015,%,youth,transfer_files,93.0
2015,%,adult,transfer_files,88.7
2016,%,youth,transfer_files,93.7
2016,%,adult,transfer_files,90.1
2017,%,youth,transfer_files,96.8
2017,%,adult,transfer_files,93.5
2018,%,youth,transfer_files,91.0
2018,%,adult,transfer_files,93.1
2019,%,youth,transfer_files,97.4
2019,%,adult,transfer_files,92.9
2020,%,youth,transfer_files,96.5
2020,%,adult,transfer_files,90.8
2015,%,youth,install_software,39.3
2015,%,adult,install_software,31.9
2016,%,youth,install_software,54.7
2016,%,adult,install_software,39.4
2017,%,youth,install_software,65.5
2017,%,adult,install_software,51.3
2018,%,youth,install_software,70.9
2018,%,adult,install_software,53.5
2019,%,youth,install_software,74.3
2019,%,adult,install_software,55.5
2020,%,youth,install_software,73.8
2020,%,adult,install_software,58.5
2021,%,youth,install_software,63.7
2021,%,adult,install_software,59.7
2022,%,youth,install_software,61.5
2022,%,adult,install_software,56.9
2023,%,youth,install_software,61.7
2023,%,adult,install_software,57.6
2015,%,youth,change_settings,7.9
2015,%,adult,change_settings,7.2
2016,%,youth,change_settings,26.1
2016,%,adult,change_settings,17.1
2017,%,youth,change_settings,35.6
2017,%,adult,change_settings,28.0
2018,%,youth,change_settings,34.6
2018,%,adult,change_settings,27.6
2019,%,youth,change_settings,39.3
2019,%,adult,change_settings,27.9
2020,%,youth,change_settings,40.9
2020,%,adult,change_settings,26.2
2021,%,youth,change_settings,31.3
2021,%,adult,change_settings,27.2
2022,%,youth,change_settings,36.0
2022,%,adult,change_settings,29.5
2023,%,youth,change_settings,36.6
2023,%,adult,change_settings,29.4
2013,%,youth,copy_files,83.4
2013,%,adult,copy_files,72.0
2014,%,youth,copy_files,92.4
2014,%,adult,copy_files,78.7
2015,%,youth,copy_files,94.9
2015,%,adult,copy_files,94.2
2016,%,youth,copy_files,97.3
2016,%,adult,copy_files,94.4
2017,%,youth,copy_files,95.3
2017,%,adult,copy_files,95.2
2018,%,youth,copy_files,98.5
2018,%,adult,copy_files,95.9
2019,%,youth,copy_files,100.0
2019,%,adult,copy_files,95.9
2020,%,youth,copy_files,98.4
2020,%,adult,copy_files,94.8
2015,%,youth,word_processing,75.9
2015,%,adult,word_processing,64.6
2016,%,youth,word_processing,77.8
2016,%,adult,word_processing,66.9
2017,%,youth,word_processing,73.4
2017,%,adult,word_processing,65.2
2018,%,youth,word_processing,85.4
2018,%,adult,word_processing,67.4
2019,%,youth,word_processing,79.3
2019,%,adult,word_processing,68.2
2020,%,youth,word_processing,85.6
2020,%,adult,word_processing,70.2
2021,%,youth,word_processing,76.4
2021,%,adult,word_processing,70.1
2022,%,youth,word_processing,78.4
2022,%,adult,word_processing,70.6
2023,%,youth,word_processing,84.7
2023,%,adult,word_processing,70.1
2013,%,youth,presentations,27.8
2013,%,adult,presentations,15.7
2014,%,youth,presentations,29.5
2014,%,adult,presentations,18.9
2015,%,youth,presentations,36.3
2015,%,adult,presentations,21.2
2016,%,youth,presentations,43.4
2016,%,adult,presentations,29.8
2017,%,youth,presentations,53.0
2017,%,adult,presentations,38.1
2018,%,youth,presentations,57.3
2018,%,adult,presentations,40.8
2019,%,youth,presentations,56.5
2019,%,adult,presentations,43.5
2020,%,youth,presentations,64.0
2020,%,adult,presentations,40.4
2021,%,youth,presentations,
2021,%,adult,presentations,42.0
2022,%,youth,presentations,67.6
2022,%,adult,presentations,43.8
2023,%,youth,presentations,57.7
2023,%,adult,presentations,43.2
2013,%,youth,spread_sheets,19.1
2013,%,adult,spread_sheets,15.9
2014,%,youth,spread_sheets,29.7
2014,%,adult,spread_sheets,22.9
2015,%,youth,spread_sheets,47.5
2015,%,adult,spread_sheets,35.8
2016,%,youth,spread_sheets,42.3
2016,%,adult,spread_sheets,36.3
2017,%,youth,spread_sheets,44.4
2017,%,adult,spread_sheets,32.4
2018,%,youth,spread_sheets,53.4
2018,%,adult,spread_sheets,34.2
2019,%,youth,spread_sheets,51.9
2019,%,adult,spread_sheets,37.5
2020,%,youth,spread_sheets,58.1
2020,%,adult,spread_sheets,38.4
2021,%,youth,spread_sheets,54.7
2021,%,adult,spread_sheets,40.2
2022,%,youth,spread_sheets,46.8
2022,%,adult,spread_sheets,40.3
2023,%,youth,spread_sheets,47.2
2023,%,adult,spread_sheets,41.3
2015,%,youth,advanced_spread_sheets,20.6
2015,%,adult,advanced_spread_sheets,13.4
2016,%,youth,advanced_spread_sheets,29.0
2016,%,adult,advanced_spread_sheets,22.4
2017,%,youth,advanced_spread_sheets,29.8
2017,%,adult,advanced_spread_sheets,16.1
2018,%,youth,advanced_spread_sheets,37.0
2018,%,adult,advanced_spread_sheets,21.1
2019,%,youth,advanced_spread_sheets,57.7
2019,%,adult,advanced_spread_sheets,26.6
2020,%,youth,advanced_spread_sheets,41.7
2020,%,adult,advanced_spread_sheets,23.3
2021,%,youth,advanced_spread_sheets,38.6
2021,%,adult,advanced_spread_sheets,22.6
2022,%,youth,advanced_spread_sheets,35.4
2022,%,adult,advanced_spread_sheets,22.2
2023,%,youth,advanced_spread_sheets,28.8
