Year,Units,Location,Value
2008,%,,99.0
2009,%,,99.1
2010,%,,99.2
2011,%,,99.0
2012,%,,99.3
2013,%,,99.7
2014,%,,97.7
2015,%,,99.5
2016,%,,99.6
2017,%,,100.0
2018,%,,100.0
2019,%,,100.0
2020,%,,99.9
2021,%,,99.8
2018,%,Roma settlements,96.4
2000,%,rural,98.2
2000,%,allarea,99.1
2000,%,urban,99.7
2001,%,urban,99.7
2001,%,allarea,99.1
2001,%,rural,98.2
2002,%,allarea,99.0
2002,%,urban,99.6
2002,%,rural,98.2
2003,%,urban,99.5
2003,%,allarea,99.0
2003,%,rural,98.1
2004,%,rural,98.1
2004,%,allarea,99.0
2004,%,urban,99.5
2005,%,urban,100.0
2005,%,allarea,99.8
2005,%,rural,99.5
2006,%,rural,98.1
2006,%,allarea,99.0
2006,%,urban,99.5
2007,%,urban,99.5
2007,%,rural,98.1
2007,%,allarea,99.0
2008,%,allarea,99.0
2008,%,rural,98.1
2008,%,urban,99.6
2009,%,urban,99.6
2009,%,allarea,99.1
2009,%,rural,98.1
2010,%,allarea,99.2
2010,%,urban,99.7
2010,%,rural,98.2
2011,%,rural,97.6
2011,%,urban,99.8
2011,%,allarea,99.0
2012,%,allarea,99.3
2012,%,urban,99.8
2012,%,rural,98.3
2013,%,rural,99.9
2013,%,urban,99.6
2013,%,allarea,99.7
2014,%,allarea,97.7
2014,%,urban,99.6
2014,%,rural,94.1
2015,%,allarea,99.5
2015,%,rural,98.6
2015,%,urban,99.9
2016,%,allarea,99.6
2016,%,urban,99.9
2016,%,rural,98.9
2017,%,rural,100.0
2017,%,urban,99.9
2017,%,allarea,100.0
2018,%,allarea,100.0
2018,%,urban,100.0
2018,%,rural,100.0
2019,%,rural,99.9
2019,%,urban,100.0
2019,%,allarea,100.0
2020,%,allarea,99.9
2020,%,rural,99.5
2020,%,urban,100.0
2021,%,urban,100.0
2021,%,rural,99.4
2021,%,allarea,99.8
2022,%,urban,100.0
2022,%,rural,100.0
2022,%,allarea,100.0
