Year,Units,Sex,Value
2010,%,,19.7
2011,%,,19.7
2012,%,,19.7
2013,%,,19.5
2014,%,,18.0
2015,%,,17.6
2016,%,,17.7
2017,%,,16.1
2018,%,,15.2
2019,%,,15.1
2020,%,,17.9
2010,%,Male,18.9
2011,%,Male,19.5
2012,%,Male,19.3
2013,%,Male,20.0
2014,%,Male,17.8
2015,%,Male,17.7
2016,%,Male,18.2
2017,%,Male,15.4
2018,%,Male,15.2
2019,%,Male,14.7
2020,%,Male,17.5
2010,%,Female,20.7
2011,%,Female,20.0
2012,%,Female,20.3
2013,%,Female,18.8
2014,%,Female,18.2
2015,%,Female,17.3
2016,%,Female,17.1
2017,%,Female,17.0
2018,%,Female,15.1
2019,%,Female,15.7
2020,%,Female,18.4
