Year,Units,Category,Value
2010,total,co2_emission_cat_1,2.58
2011,total,co2_emission_cat_1,2.54
2012,total,co2_emission_cat_1,2.33
2013,total,co2_emission_cat_1,2.27
2014,total,co2_emission_cat_1,2.22
2015,total,co2_emission_cat_1,2.36
2016,total,co2_emission_cat_1,2.15
2017,total,co2_emission_cat_1,2.27
2018,total,co2_emission_cat_1,2.5
2019,total,co2_emission_cat_1,2.6
2020,total,co2_emission_cat_1,2.53
2010,total,co2_emission_cat_2,0.249
2011,total,co2_emission_cat_2,0.237
2012,total,co2_emission_cat_2,0.224
2013,total,co2_emission_cat_2,0.21
2014,total,co2_emission_cat_2,0.202
2015,total,co2_emission_cat_2,0.208
2016,total,co2_emission_cat_2,0.184
2017,total,co2_emission_cat_2,0.185
2018,total,co2_emission_cat_2,0.194
2019,total,co2_emission_cat_2,0.194
2020,total,co2_emission_cat_2,0.223
2010,total,co2_emission_cat_3,0.772
2011,total,co2_emission_cat_3,0.581
2012,total,co2_emission_cat_3,0.734
2013,total,co2_emission_cat_3,1.065
2014,total,co2_emission_cat_3,1.023
2015,total,co2_emission_cat_3,0.966
2016,total,co2_emission_cat_3,0.944
2017,total,co2_emission_cat_3,0.977
2018,total,co2_emission_cat_3,0.844
2019,total,co2_emission_cat_3,0.905
2020,total,co2_emission_cat_3,0.91
