Year,Units,Category,Value
2008,%,9_c_1_cat_1,99.0
2009,%,9_c_1_cat_1,100.0
2010,%,9_c_1_cat_1,100.0
2014,%,9_c_1_cat_1,99.5
2015,%,9_c_1_cat_1,99.5
2016,%,9_c_1_cat_1,99.5
2017,%,9_c_1_cat_1,99.5
2018,%,9_c_1_cat_1,99.6
2019,%,9_c_1_cat_1,98.5
2020,%,9_c_1_cat_1,98.3
2021,%,9_c_1_cat_1,98.4
2010,%,9_c_1_cat_2,72.0
2012,%,9_c_1_cat_2,75.3
2013,%,9_c_1_cat_2,81.8
2014,%,9_c_1_cat_2,97.2
2015,%,9_c_1_cat_2,97.2
2016,%,9_c_1_cat_2,95.0
2017,%,9_c_1_cat_2,98.0
2018,%,9_c_1_cat_2,98.0
2019,%,9_c_1_cat_2,98.0
2020,%,9_c_1_cat_2,98.3
2021,%,9_c_1_cat_2,98.0
2012,%,9_c_1_cat_3,10.0
2013,%,9_c_1_cat_3,38.0
2014,%,9_c_1_cat_3,62.0
2015,%,9_c_1_cat_3,65.0
2016,%,9_c_1_cat_3,85.0
2017,%,9_c_1_cat_3,98.0
2018,%,9_c_1_cat_3,97.6
2019,%,9_c_1_cat_3,97.7
2020,%,9_c_1_cat_3,97.5
2021,%,9_c_1_cat_3,97.8
