Year,Units,Value
1885,million_tonnes,446.0
1890,million_tonnes,1337.0
1891,million_tonnes,1560.0
1892,million_tonnes,1727.0
1893,million_tonnes,3064.0
1894,million_tonnes,5849.0
1895,million_tonnes,5849.0
1896,million_tonnes,6518.0
1897,million_tonnes,5069.0
1898,million_tonnes,7688.0
1899,million_tonnes,8969.0
1900,million_tonnes,12144.0
1901,million_tonnes,13258.0
1902,million_tonnes,12423.0
1903,million_tonnes,13481.0
1904,million_tonnes,14373.0
1905,million_tonnes,15598.0
1906,million_tonnes,18662.0
1907,million_tonnes,18996.0
1908,million_tonnes,20445.0
1909,million_tonnes,21002.0
1910,million_tonnes,20779.0
1911,million_tonnes,22506.0
1912,million_tonnes,23063.0
1913,million_tonnes,63340.0
1919,million_tonnes,45402.0
1920,million_tonnes,60276.0
1921,million_tonnes,64175.004
1922,million_tonnes,93255.0
1923,million_tonnes,101722.0
1924,million_tonnes,104285.0
1925,million_tonnes,114479.0
1926,million_tonnes,111471.0
1927,million_tonnes,125955.0
1928,million_tonnes,143057.0
1929,million_tonnes,156037.0
1930,million_tonnes,146846.0
1931,million_tonnes,135704.0
1932,million_tonnes,123727.0
1933,million_tonnes,114479.0
1934,million_tonnes,119159.0
1935,million_tonnes,124730.0
1936,million_tonnes,123003.0
1937,million_tonnes,137041.0
1938,million_tonnes,129798.99
1939,million_tonnes,136205.0
1940,million_tonnes,156650.0
1943,million_tonnes,5738.0
1944,million_tonnes,1393.0
1945,million_tonnes,79161.0
1946,million_tonnes,156427.0
1947,million_tonnes,217650.0
1948,million_tonnes,245337.0
1949,million_tonnes,280266.0
1950,million_tonnes,269235.0
1951,million_tonnes,254863.0
1952,million_tonnes,255921.0
1953,million_tonnes,254139.0
1954,million_tonnes,303161.0
1955,million_tonnes,347171.0
1956,million_tonnes,396918.0
1957,million_tonnes,431011.0
1958,million_tonnes,424771.0
1959,million_tonnes,486941.0
1960,million_tonnes,531897.0
1961,million_tonnes,557523.0
1962,million_tonnes,572118.0
1963,million_tonnes,636461.0
1964,million_tonnes,721081.0
1965,million_tonnes,741915.0
1966,million_tonnes,735175.0
1967,million_tonnes,742584.0
1968,million_tonnes,794225.0
1969,million_tonnes,823472.0
1970,million_tonnes,1076106.0
1971,million_tonnes,1159779.0
1972,million_tonnes,1087025.0
1973,million_tonnes,1298547.0
1974,million_tonnes,1304229.0
1975,million_tonnes,1360884.0
1976,million_tonnes,1404615.0
1977,million_tonnes,1365953.0
1978,million_tonnes,1526447.0
1979,million_tonnes,1660313.0
1980,million_tonnes,1632626.0
1981,million_tonnes,1776798.0
1982,million_tonnes,1632348.0
1983,million_tonnes,1757746.0
1984,million_tonnes,1853675.0
1985,million_tonnes,1890887.0
1986,million_tonnes,1974783.0
1987,million_tonnes,1927989.0
1988,million_tonnes,1989434.0
1989,million_tonnes,1983362.0
1990,million_tonnes,1962026.0
1991,million_tonnes,1388069.0
1992,million_tonnes,1483274.0
1993,million_tonnes,1293620.0
1994,million_tonnes,1256653.0
1995,million_tonnes,1327336.0
1996,million_tonnes,1552994.0
1997,million_tonnes,1669797.0
1998,million_tonnes,1757580.0
1999,million_tonnes,1211858.0
2000,million_tonnes,1520843.0
2001,million_tonnes,1667268.0
2002,million_tonnes,1766249.0
2003,million_tonnes,1889193.0
2004,million_tonnes,2041277.9
2005,million_tonnes,1750836.0
2006,million_tonnes,2062832.1
2007,million_tonnes,2055504.1
2008,million_tonnes,2605104.0
2009,million_tonnes,1681776.0
2010,million_tonnes,2421904.0
2011,million_tonnes,2407248.0
2012,million_tonnes,2213056.0
2013,million_tonnes,2150768.0
2014,million_tonnes,2106800.0
2015,million_tonnes,2238704.0
2016,million_tonnes,2015199.9
2017,million_tonnes,2103136.0
2018,million_tonnes,2399920.0
2019,million_tonnes,2476864.0
2020,million_tonnes,2407248.0
2021,million_tonnes,2304752.0
2022,million_tonnes,2292498.0
