Year,Units,Category,Economic class,Size class,LSU class,Value
2010,total,total,number_of_farms,,,48824.0
2010,total,total,economic_class_less_2000,,,31569.0
2010,total,total,economic_class_2000_4000,,,9526.0
2010,total,total,economic_class_4000_8000,,,5277.0
2010,total,total,economic_class_8000_15000,,,1832.0
2010,total,total,economic_class_15000_25000,,,441.0
2010,total,total,economic_class_more_25000,,,179.0
2010,total,less_1_gjr,number_of_farms,,,28987.0
2010,total,less_1_gjr,economic_class_less_2000,,,23640.0
2010,total,less_1_gjr,economic_class_2000_4000,,,3736.0
2010,total,less_1_gjr,economic_class_4000_8000,,,1245.0
2010,total,less_1_gjr,economic_class_8000_15000,,,276.0
2010,total,less_1_gjr,economic_class_15000_25000,,,57.0
2010,total,less_1_gjr,economic_class_more_25000,,,33.0
2010,total,1_2_gjr,number_of_farms,,,12743.0
2010,total,1_2_gjr,economic_class_less_2000,,,6118.0
2010,total,1_2_gjr,economic_class_2000_4000,,,3770.0
2010,total,1_2_gjr,economic_class_4000_8000,,,2065.0
2010,total,1_2_gjr,economic_class_8000_15000,,,615.0
2010,total,1_2_gjr,economic_class_15000_25000,,,117.0
2010,total,1_2_gjr,economic_class_more_25000,,,58.0
2010,total,2_3_gjr,number_of_farms,,,5459.0
2010,total,2_3_gjr,economic_class_less_2000,,,1536.0
2010,total,2_3_gjr,economic_class_2000_4000,,,1652.0
2010,total,2_3_gjr,economic_class_4000_8000,,,1469.0
2010,total,2_3_gjr,economic_class_8000_15000,,,608.0
2010,total,2_3_gjr,economic_class_15000_25000,,,149.0
2010,total,2_3_gjr,economic_class_more_25000,,,45.0
2010,total,more_3_gjr,number_of_farms,,,1635.0
2010,total,more_3_gjr,economic_class_less_2000,,,275.0
2010,total,more_3_gjr,economic_class_2000_4000,,,368.0
2010,total,more_3_gjr,economic_class_4000_8000,,,498.0
2010,total,more_3_gjr,economic_class_8000_15000,,,333.0
2010,total,more_3_gjr,economic_class_15000_25000,,,118.0
2010,total,more_3_gjr,economic_class_more_25000,,,43.0
2016,total,farms_spg_2016,,without_land,,311.0
2016,total,farms_spg_2016,,size_class_less_0.10,,1560.0
2016,total,farms_spg_2016,,size_class_0.10_0.50,,10590.0
2016,total,farms_spg_2016,,size_class_0.50_1.00,,5815.0
2016,total,farms_spg_2016,,size_class_1.00_2.00,,7363.0
2016,total,farms_spg_2016,,size_class_2.00_3.00,,3895.0
2016,total,farms_spg_2016,,size_class_3.00_4.00,,2511.0
2016,total,farms_spg_2016,,size_class_4.00_5.00,,1600.0
2016,total,farms_spg_2016,,size_class_5.00_6.00,,1462.0
2016,total,farms_spg_2016,,size_class_6.00_8.00,,2164.0
2016,total,farms_spg_2016,,size_class_8.00_10.00,,1082.0
2016,total,farms_spg_2016,,size_class_10.00_15.00,,1584.0
2016,total,farms_spg_2016,,size_class_15.00_20.00,,1042.0
2016,total,farms_spg_2016,,size_class_20.00_30.00,,1029.0
2016,total,farms_spg_2016,,size_class_30.00_50.00,,900.0
2016,total,farms_spg_2016,,size_class_50.00_100.00,,587.0
2016,total,farms_spg_2016,,size_class_more_100.00,,296.0
2010,total,farms_pp_2010,,without_land,,593.0
2010,total,farms_pp_2010,,size_class_less_0.10,,2515.0
2010,total,farms_pp_2010,,size_class_0.10_0.50,,15418.0
2010,total,farms_pp_2010,,size_class_0.50_1.00,,8467.0
2010,total,farms_pp_2010,,size_class_1.00_2.00,,8867.0
2010,total,farms_pp_2010,,size_class_2.00_3.00,,4081.0
2010,total,farms_pp_2010,,size_class_3.00_4.00,,2258.0
2010,total,farms_pp_2010,,size_class_4.00_5.00,,1288.0
2010,total,farms_pp_2010,,size_class_5.00_6.00,,1057.0
2010,total,farms_pp_2010,,size_class_6.00_8.00,,1067.0
2010,total,farms_pp_2010,,size_class_8.00_10.00,,588.0
2010,total,farms_pp_2010,,size_class_10.00_15.00,,815.0
2010,total,farms_pp_2010,,size_class_15.00_20.00,,342.0
2010,total,farms_pp_2010,,size_class_20.00_30.00,,329.0
2010,total,farms_pp_2010,,size_class_30.00_50.00,,313.0
2010,total,farms_pp_2010,,size_class_50.00_100.00,,441.0
2010,total,farms_pp_2010,,size_class_more_100.00,,431.0
2010,total,,,,farms,32675.0
2010,total,,,,lsu,117753.1
2010,total,family_agriculture,,,farms,32656.0
2010,total,family_agriculture,,,lsu,112861.9
2010,total,companies,,,farms,19.0
2010,total,companies,,,lsu,4891.2
