Year,Units,Drug_Type,Treatment_Type,Value
2023,total,any_drug,combined_psychosocial_medication,7
2023,total,any_drug,treatment_not_started,12
2023,total,any_drug,pharmacological_treatment,700
2023,total,any_drug,psychosocial_behavioral,2
2023,total,any_drug,rehabilitation_resocialization,1
2023,total,any_drug,referral_hospital,2
2023,total,any_drug,unknown_treatment,23
2023,total,any_drug,referral_addiction_specialist,2
2023,total,any_drug,referral_treatment_center,1
2023,total,cannabis_type,unknown_treatment,4
2023,total,cannabis_type,referral_addiction_specialist,1
2023,total,cannabis_plant,unknown_treatment,4
2023,total,cannabis_plant,referral_addiction_specialist,1
2023,total,opioids,combined_psychosocial_medication,4
2023,total,opioids,treatment_not_started,11
2023,total,opioids,pharmacological_treatment,698
2023,total,opioids,psychosocial_behavioral,1
2023,total,opioids,rehabilitation_resocialization,1
2023,total,opioids,referral_hospital,2
2023,total,opioids,unknown_treatment,13
2023,total,opioids,referral_addiction_specialist,1
2023,total,heroin,combined_psychosocial_medication,4
2023,total,heroin,treatment_not_started,11
2023,total,heroin,pharmacological_treatment,698
2023,total,heroin,psychosocial_behavioral,1
2023,total,heroin,rehabilitation_resocialization,1
2023,total,heroin,referral_hospital,2
2023,total,heroin,referral_addiction_specialist,1
2023,total,buprenorphine_abuse,unknown_treatment,10
2023,total,fentanyl_abuse,unknown_treatment,1
2023,total,unknown_opioid,unknown_treatment,2
2023,total,cocaine_type,combined_psychosocial_medication,3
2023,total,cocaine_type,treatment_not_started,1
2023,total,cocaine_type,psychosocial_behavioral,1
2023,total,cocaine_type,unknown_treatment,5
2023,total,cocaine_type,referral_treatment_center,1
2023,total,cocaine_hydrochloride,combined_psychosocial_medication,3
2023,total,cocaine_hydrochloride,treatment_not_started,1
2023,total,cocaine_hydrochloride,psychosocial_behavioral,1
2023,total,cocaine_hydrochloride,unknown_treatment,5
2023,total,cocaine_hydrochloride,referral_treatment_center,1
2023,total,sedatives_non_medical,pharmacological_treatment,2
2023,total,sedatives_non_medical,unknown_treatment,1
